diameter_multiplier,direction_selectivity_index,dsi_vector_sum,peak_hz,null_hz,hwhm_deg
0.50,0.428571,0.253300,15.0000,6.0000,112.2857
0.75,0.428571,0.255953,15.0000,6.0000,118.3125
1.00,0.428571,0.259420,15.0000,6.0000,112.2857
1.25,0.400000,0.257089,14.0000,6.0000,109.0000
1.50,0.400000,0.259580,14.0000,6.0000,109.0000
1.75,0.368421,0.247023,13.0000,6.0000,98.5000
2.00,0.368421,0.242371,13.0000,6.0000,94.1250
