v_rest_mv,trial,direction_deg,spike_count,peak_mv,firing_rate_hz
-90.0,0,0,1,36.535,1.000000
-90.0,1,0,1,38.238,1.000000
-90.0,2,0,2,36.950,2.000000
-90.0,3,0,1,36.286,1.000000
-90.0,4,0,1,35.775,1.000000
-90.0,5,0,1,37.065,1.000000
-90.0,6,0,2,37.324,2.000000
-90.0,7,0,1,36.486,1.000000
-90.0,8,0,3,37.496,3.000000
-90.0,9,0,2,37.627,2.000000
-90.0,0,30,2,36.737,2.000000
-90.0,1,30,1,36.266,1.000000
-90.0,2,30,3,37.494,3.000000
-90.0,3,30,1,35.487,1.000000
-90.0,4,30,1,36.775,1.000000
-90.0,5,30,1,34.614,1.000000
-90.0,6,30,1,36.306,1.000000
-90.0,7,30,2,35.820,2.000000
-90.0,8,30,0,-49.020,0.000000
-90.0,9,30,2,36.744,2.000000
-90.0,0,60,0,-49.451,0.000000
-90.0,1,60,2,36.343,2.000000
-90.0,2,60,0,-47.739,0.000000
-90.0,3,60,2,36.682,2.000000
-90.0,4,60,0,-45.545,0.000000
-90.0,5,60,1,35.397,1.000000
-90.0,6,60,1,36.206,1.000000
-90.0,7,60,0,-49.774,0.000000
-90.0,8,60,1,34.771,1.000000
-90.0,9,60,0,-49.206,0.000000
-90.0,0,90,0,-50.097,0.000000
-90.0,1,90,0,-48.927,0.000000
-90.0,2,90,0,-52.789,0.000000
-90.0,3,90,1,35.027,1.000000
-90.0,4,90,1,34.924,1.000000
-90.0,5,90,0,-54.676,0.000000
-90.0,6,90,0,-51.748,0.000000
-90.0,7,90,0,-48.571,0.000000
-90.0,8,90,0,-45.684,0.000000
-90.0,9,90,0,-55.463,0.000000
-90.0,0,120,0,-49.834,0.000000
-90.0,1,120,0,-52.467,0.000000
-90.0,2,120,0,-50.544,0.000000
-90.0,3,120,0,-53.822,0.000000
-90.0,4,120,0,-56.184,0.000000
-90.0,5,120,0,-54.049,0.000000
-90.0,6,120,0,-51.723,0.000000
-90.0,7,120,0,-54.876,0.000000
-90.0,8,120,0,-54.506,0.000000
-90.0,9,120,0,-55.817,0.000000
-90.0,0,150,0,-54.314,0.000000
-90.0,1,150,0,-57.064,0.000000
-90.0,2,150,0,-52.110,0.000000
-90.0,3,150,0,-57.136,0.000000
-90.0,4,150,0,-52.810,0.000000
-90.0,5,150,0,-58.039,0.000000
-90.0,6,150,0,-57.140,0.000000
-90.0,7,150,0,-54.562,0.000000
-90.0,8,150,0,-52.282,0.000000
-90.0,9,150,0,-53.725,0.000000
-90.0,0,180,0,-55.263,0.000000
-90.0,1,180,0,-56.164,0.000000
-90.0,2,180,0,-58.531,0.000000
-90.0,3,180,0,-58.775,0.000000
-90.0,4,180,0,-52.963,0.000000
-90.0,5,180,0,-52.818,0.000000
-90.0,6,180,0,-54.075,0.000000
-90.0,7,180,0,-54.048,0.000000
-90.0,8,180,0,-56.982,0.000000
-90.0,9,180,0,-52.131,0.000000
-90.0,0,210,0,-53.638,0.000000
-90.0,1,210,0,-57.327,0.000000
-90.0,2,210,0,-54.390,0.000000
-90.0,3,210,0,-47.920,0.000000
-90.0,4,210,0,-53.390,0.000000
-90.0,5,210,0,-56.952,0.000000
-90.0,6,210,0,-55.996,0.000000
-90.0,7,210,0,-56.636,0.000000
-90.0,8,210,0,-57.120,0.000000
-90.0,9,210,0,-50.024,0.000000
-90.0,0,240,0,-54.604,0.000000
-90.0,1,240,1,35.367,1.000000
-90.0,2,240,0,-52.313,0.000000
-90.0,3,240,1,35.460,1.000000
