cluster_id,source_task,seed,generation,individual_idx,direction_deg,peak_g_e_us,peak_g_e_time_ms,peak_g_i_us,peak_g_i_time_ms,gi_ge_ratio_at_peak_ge,g_i_onset_latency_ms,n_spikes,mean_v_m_mv,max_v_m_mv
0,t0106_long_pdnd_nsga2_300gen,44,1,71,0,0.06464592326170487,140.0,0.02935831077720401,277.0,0.2634707239061336,101.0,0,-79.49987595813943,-20.4803044567819
0,t0106_long_pdnd_nsga2_300gen,44,1,71,180,0.05704040364209971,15.0,0.07251863073246569,23.0,1.115690423836348,9.0,0,-79.49741877258336,-20.588537228501277
0,t0115_seed9354_no_autostop,9354,2,129,0,0.0017099112612709814,122.0,0.10313987075136918,107.0,44.854606638823384,56.0,0,-69.09489896516733,-11.311944960674767
0,t0115_seed9354_no_autostop,9354,2,129,180,0.0012498071418728298,24.0,0.5806138938188611,32.0,440.7811904329238,9.0,0,-69.02609145655323,-12.565983602927052
0,t0112_t0106_seed77_replicate,77,2,105,0,0.2707979269349979,71.0,0.08534624424309686,55.0,0.2209044227483015,27.0,9,-76.84032255485444,7.550152404473149
0,t0112_t0106_seed77_replicate,77,2,105,180,0.1953575443215324,26.0,0.7108280314248683,22.0,3.48508917473481,10.0,6,-76.89780056535801,6.874412193420554
0,t0106_long_pdnd_nsga2_300gen,44,5,422,0,0.26238777647630873,73.0,0.06324212340171262,64.0,0.20098512547613406,33.0,15,-72.82242897233333,3.3092812224412054
0,t0106_long_pdnd_nsga2_300gen,44,5,422,180,0.31425297375807226,29.0,0.43193941180240963,50.0,1.1322965119606654,13.0,16,-72.81139650763816,3.083713156507585
0,t0106_long_pdnd_nsga2_300gen,44,7,666,0,0.11967378058890589,74.0,0.11443847221455812,56.0,0.8268809071027153,40.0,11,-70.41874436559864,-1.4814102378396985
0,t0106_long_pdnd_nsga2_300gen,44,7,666,180,0.13220521874329855,17.0,0.9521923987991842,23.0,5.725856758310752,9.0,12,-70.41330512741702,-1.5183333509337462
0,t0112_t0106_seed77_replicate,77,5,431,0,0.13343862692317585,54.0,0.07853269491231829,66.0,0.48289474170056956,33.0,2,-75.36501500535896,5.568477169234109
