trial,direction_deg,spike_count,peak_mv
126984,300.0,2,37.208
136991,300.0,2,36.895
146998,300.0,4,37.111
157005,300.0,2,38.079
167012,300.0,4,38.082
177019,300.0,4,36.481
187026,300.0,4,37.675
197033,300.0,2,37.806
7290,330.0,3,36.992
17297,330.0,6,37.004
27304,330.0,4,37.490
37311,330.0,5,37.305
47318,330.0,5,37.788
57325,330.0,5,37.510
67332,330.0,4,36.799
77339,330.0,4,37.845
87346,330.0,5,37.314
97353,330.0,4,38.197
107360,330.0,3,38.027
117367,330.0,5,37.055
127374,330.0,5,37.207
137381,330.0,5,36.762
147388,330.0,4,36.454
157395,330.0,5,37.058
167402,330.0,6,37.818
177409,330.0,5,37.628
187416,330.0,4,37.101
197423,330.0,5,37.053
