trial,direction_deg,spike_count,peak_mv
87956,300.0,1,36.753
97963,300.0,2,36.993
107970,300.0,2,37.680
117977,300.0,3,37.414
127984,300.0,3,35.506
137991,300.0,2,37.418
147998,300.0,2,37.989
158005,300.0,2,36.569
168012,300.0,2,36.545
178019,300.0,1,36.579
188026,300.0,3,37.388
198033,300.0,2,37.046
8290,330.0,3,37.525
18297,330.0,4,37.079
28304,330.0,3,36.694
38311,330.0,3,38.079
48318,330.0,3,36.922
58325,330.0,2,36.321
68332,330.0,4,37.852
78339,330.0,2,37.662
88346,330.0,3,36.541
98353,330.0,4,36.979
108360,330.0,4,36.620
118367,330.0,4,36.735
128374,330.0,2,37.277
138381,330.0,4,37.677
148388,330.0,3,37.541
158395,330.0,4,37.170
168402,330.0,4,37.258
178409,330.0,3,37.405
188416,330.0,3,37.057
198423,330.0,5,37.476
