task_seed_label,n_total_evals,n_generations_completed,n_joint_pass_unique,n_joint_pass_evaluations,best_dsi,best_pd_rate_hz,final_hypervolume,n_generations_to_plateau
t0106_seed44,3744,39,136,711,1.0,125.95,122.0288,39
t0112_seed77,2016,21,7,25,0.9535,114.76,107.4602,21
