gampa_ns,gaba_base_ns,angle_deg,trial_seed,firing_rate_hz
0.500000,0.100000,0,1,0.714286
0.500000,0.100000,0,2,0.714286
0.500000,0.100000,0,3,0.714286
0.500000,0.100000,0,4,0.714286
0.500000,0.100000,0,5,0.714286
0.500000,0.100000,0,6,0.714286
0.500000,0.100000,0,7,0.714286
0.500000,0.100000,0,8,0.714286
0.500000,0.100000,0,9,0.714286
0.500000,0.100000,0,10,0.714286
0.500000,0.100000,30,1001,0.714286
0.500000,0.100000,30,1002,0.714286
0.500000,0.100000,30,1003,0.714286
0.500000,0.100000,30,1004,0.714286
0.500000,0.100000,30,1005,0.714286
0.500000,0.100000,30,1006,0.714286
0.500000,0.100000,30,1007,0.714286
0.500000,0.100000,30,1008,0.714286
0.500000,0.100000,30,1009,0.714286
0.500000,0.100000,30,1010,0.714286
0.500000,0.100000,60,2001,0.714286
0.500000,0.100000,60,2002,0.714286
0.500000,0.100000,60,2003,0.714286
0.500000,0.100000,60,2004,0.714286
0.500000,0.100000,60,2005,0.714286
0.500000,0.100000,60,2006,0.714286
0.500000,0.100000,60,2007,0.714286
0.500000,0.100000,60,2008,0.714286
0.500000,0.100000,60,2009,0.714286
0.500000,0.100000,60,2010,0.714286
0.500000,0.100000,90,3001,0.714286
0.500000,0.100000,90,3002,0.714286
0.500000,0.100000,90,3003,0.714286
0.500000,0.100000,90,3004,0.714286
0.500000,0.100000,90,3005,0.714286
0.500000,0.100000,90,3006,0.714286
0.500000,0.100000,90,3007,0.714286
0.500000,0.100000,90,3008,0.714286
0.500000,0.100000,90,3009,0.714286
0.500000,0.100000,90,3010,0.714286
0.500000,0.100000,120,4001,0.714286
0.500000,0.100000,120,4002,0.714286
0.500000,0.100000,120,4003,0.714286
0.500000,0.100000,120,4004,0.714286
0.500000,0.100000,120,4005,0.714286
0.500000,0.100000,120,4006,0.714286
0.500000,0.100000,120,4007,0.714286
0.500000,0.100000,120,4008,0.714286
0.500000,0.100000,120,4009,0.714286
0.500000,0.100000,120,4010,0.714286
0.500000,0.100000,150,5001,0.714286
0.500000,0.100000,150,5002,0.714286
0.500000,0.100000,150,5003,0.714286
0.500000,0.100000,150,5004,0.714286
0.500000,0.100000,150,5005,0.714286
0.500000,0.100000,150,5006,0.714286
0.500000,0.100000,150,5007,0.714286
0.500000,0.100000,150,5008,0.714286
0.500000,0.100000,150,5009,0.714286
0.500000,0.100000,150,5010,0.714286
0.500000,0.100000,180,6001,0.714286
0.500000,0.100000,180,6002,0.714286
0.500000,0.100000,180,6003,0.714286
0.500000,0.100000,180,6004,0.714286
0.500000,0.100000,180,6005,0.714286
0.500000,0.100000,180,6006,0.714286
0.500000,0.100000,180,6007,0.714286
