v_rest_mv,peak_hz,null_hz,dsi,hwhm_deg,preferred_dir_deg,mean_peak_mv
-90.0,6.0000,0.0000,0.4852,0.7753,19.40,-22.109
-80.0,11.0000,0.0000,0.5999,0.7664,42.34,-6.698
-70.0,12.0000,0.0000,0.6368,83.9610,50.70,-5.832
-60.0,15.0000,0.0000,0.6555,86.2500,49.28,-4.909
-50.0,41.0000,20.4136,0.2047,102.1875,42.41,43.709
-40.0,70.0000,50.6378,0.0952,180.0000,49.13,43.612
-30.0,129.0000,111.1980,0.0460,180.0000,47.97,43.428
-20.0,26.0000,7.3993,0.2751,107.8125,48.02,41.755
