b2gnmda_ns,direction,t_ms,v_mv
0.0,PD,39.75,-59.958196761693834
0.0,PD,40.0,-59.96020344339793
0.0,PD,40.25,-59.96223952700571
0.0,PD,40.5,-59.96332122075111
0.0,PD,40.75,-59.96314536205239
0.0,PD,41.0,-59.96227052370673
0.0,PD,41.25,-59.96138072611172
0.0,PD,41.5,-59.960950796530064
0.0,PD,41.75,-59.96114390621683
0.0,PD,42.0,-59.9619309103783
0.0,PD,42.25,-59.96322318028694
0.0,PD,42.5,-59.96437988018412
0.0,PD,42.75,-59.96481112906307
0.0,PD,43.0,-59.964669652544984
0.0,PD,43.25,-59.96160123401008
0.0,PD,43.5,-59.94823637661779
0.0,PD,43.75,-59.92949381826496
0.0,PD,44.0,-59.91120895974384
0.0,PD,44.25,-59.89578645010023
0.0,PD,44.5,-59.88347853451338
0.0,PD,44.75,-59.873557971018485
0.0,PD,45.0,-59.866237140044355
0.0,PD,45.25,-59.859601193545814
0.0,PD,45.5,-59.84917423118471
0.0,PD,45.75,-59.83789057261217
0.0,PD,46.0,-59.82900377294856
0.0,PD,46.25,-59.814803756657135
0.0,PD,46.5,-59.778869657141456
0.0,PD,46.75,-59.73530766128877
0.0,PD,47.0,-59.69560884056405
0.0,PD,47.25,-59.66248543945429
0.0,PD,47.5,-59.632106180761326
0.0,PD,47.75,-59.60638672147876
0.0,PD,48.0,-59.587314266127805
0.0,PD,48.25,-59.571437045435836
0.0,PD,48.5,-59.546192638772304
0.0,PD,48.75,-59.51611356429894
0.0,PD,49.0,-59.48848062110642
0.0,PD,49.25,-59.46297145956963
0.0,PD,49.5,-59.42878211680288
0.0,PD,49.75,-59.39220922406234
0.0,PD,50.0,-59.36046470671669
0.0,PD,50.25,-59.334637715993125
0.0,PD,50.5,-59.313256107542784
0.0,PD,50.75,-59.298844091018694
0.0,PD,51.0,-59.291686135960965
0.0,PD,51.25,-59.28907892499617
0.0,PD,51.5,-59.275823126804035
0.0,PD,51.75,-59.25475144952382
0.0,PD,52.0,-59.23414656279202
0.0,PD,52.25,-59.21721394457674
0.0,PD,52.5,-59.198275607413535
0.0,PD,52.75,-59.17892781305567
0.0,PD,53.0,-59.16222159360232
0.0,PD,53.25,-59.14827453958909
0.0,PD,53.5,-59.12947016836967
