b2gnmda_ns,direction,trial_seed,peak_psp_mv,baseline_mean_mv,peak_g_nmda_summed_ns,peak_g_ampa_summed_ns,peak_g_sacexc_summed_ns,peak_g_sacinhib_summed_ns,peak_g_nmda_per_syn_mean_ns,peak_g_ampa_per_syn_mean_ns,peak_g_sacexc_per_syn_mean_ns,peak_g_sacinhib_per_syn_mean_ns,peak_i_nmda_summed_na,peak_i_ampa_summed_na,peak_i_sacexc_summed_na,peak_i_sacinhib_summed_na
0.0,PD,0,13.189531151912718,5.523201294904226,0.0,9.876541638624515,15.30161537387695,109.73451094860394,0.0,0.03502319730008693,0.05426104742509557,0.38912947144895016,0.0,0.5325006905636254,0.8202113746456566,0.7311937303953321
0.0,PD,1,13.447991439600607,5.605575767747425,0.0,10.557589331540484,16.078412421114784,102.46230817035067,0.0,0.0374382600409237,0.05701564688338576,0.36334151833457684,0.0,0.5707800628882362,0.8611218222757333,0.6503607386061209
0.0,PD,2,13.487559635232934,5.838549452997427,0.0,10.123318282393573,14.868187848451953,110.7333810584031,0.0,0.03589829178153749,0.05272407038458139,0.3926715640368904,0.0,0.5407575987637885,0.7896919811763707,0.7107520888572691
0.0,PD,3,13.45043107638272,5.619810849198139,0.0,10.834344250271418,14.802456166188316,112.84574466430415,0.0,0.03841966046195538,0.05249097931272453,0.4001622151216459,0.0,0.5816990635080611,0.8131762356541653,0.7570559324330691
0.0,ND,100,10.739280785294092,5.424785460181695,0.0,10.047509650662157,14.930398855776778,212.053677102007,0.0,0.03562946684631971,0.05294467679353467,0.7519633939787482,0.0,0.5605797996148018,0.8468314038945303,1.0838600135913454
0.0,ND,101,10.790500046806017,5.335739396469975,0.0,10.623432419294453,14.494830056254695,203.09439004913563,0.0,0.03767174616771082,0.05140010658246346,0.7201928725146653,0.0,0.5898037182372606,0.8050784439017996,1.0014279069989078
0.0,ND,102,10.869925722429905,5.380909653812843,0.0,10.866711574095843,14.439647537122198,213.0781533336496,0.0,0.03853443820601363,0.051204423890504246,0.7555962884171972,0.0,0.6164696806810422,0.7956300237596938,1.0037423943849737
0.0,ND,103,11.153007431153824,5.427523427089881,0.0,10.804705195071396,14.97204532453183,219.25062836495292,0.0,0.03831455742933119,0.05309235930685046,0.7774844977480599,0.0,0.596900851986803,0.8511673079028598,1.0301130416409015
0.5,PD,1000,23.424111002572786,5.94144506786013,65.12253384234008,11.117247865628869,15.036895760021887,114.10414303643054,0.23093097107212793,0.039422864771733575,0.053322325390148535,0.4046246206965622,2.7090060337250392,0.4967256174869183,0.6577979652324935,1.9402933040504131
0.5,PD,1001,24.940643644693935,5.98670734655866,73.62576285197552,10.37665257568662,14.397876718787266,103.12015526391117,0.2610842654325373,0.036796640339314256,0.05105630042123144,0.36567430944649354,2.965497109246964,0.45688020530032697,0.635965685659429,1.9159852113990474
0.5,PD,1002,25.35524425018783,6.082189368131409,75.50020446421463,11.038145615264318,16.10763465842869,100.91766147588088,0.2677312215043072,0.03914236033781673,0.05711927183839961,0.35786404778681163,2.9971435040342973,0.49162160942636113,0.6711885096505846,1.8274573379350532
0.5,PD,1003,23.3767261223014,5.993961973722989,63.9456627526368,11.150325233456154,15.170315509475829,106.35903786463587,0.2267576693355915,0.03954016040232679,0.053795445069063225,0.3771597087398435,2.758692570896228,0.49802436205410106,0.6768841486686435,1.8591334291477546
0.5,ND,1100,16.79854410151281,5.730956993611883,35.16333788830786,11.557359373198539,14.37561977748545,213.43006384553968,0.12469268754719098,0.04098354387659056,0.05097737509746614,0.7568441980338286,1.8084321808595392,0.5746296102804517,0.7606503518011887,2.40018301551048
0.5,ND,1101,16.23545234395921,5.707210311480203,32.85300814611842,10.9212459804466,15.444257605572375,214.1132158160648,0.11650002888694475,0.03872782262569716,0.05476687094174601,0.7592667227520029,1.6950146101861758,0.5664354257750386,0.790975913379424,2.1243539165842376
0.5,ND,1102,16.457870163911203,5.646519325381696,35.87429814375342,10.293731960250176,15.481984643674595,219.49244814528296,0.12721382320479938,0.03650259560372403,0.054900654764803526,0.778342014699585,1.7824900596284166,0.530030690188952,0.8081674720628675,1.9332048593976512
