source_task,seed,generation,individual_idx
t0115_seed9354_no_autostop,9354,40,3816
t0115_seed9354_no_autostop,9354,55,5231
t0115_seed9354_no_autostop,9354,11,1021
t0106_long_pdnd_nsga2_300gen,44,13,1206
t0112_t0106_seed77_replicate,77,15,1368
t0114_seed7755_no_autostop,7755,59,5619
