partition,k,nmi,chi2,p_value,dof,n_expected_below_5,n_total_cells
electrophys_k=3,3,0.9287614122166973,1670.9072835553154,0.0,6,3,12
morphology_k=3,3,0.8887646679231694,1643.1257206194489,0.0,6,3,12
