source_task,seed,generation,dsi_vector_sum,pd_rate_hz,ephys_pc1,ephys_pc2,ephys_pc3
t0114_seed7755_no_autostop,7755,61,0.9872881355932204,111.66666666666669,-2.4620073470059882,-1.6360288339925821,2.3066170969765274
t0114_seed7755_no_autostop,7755,61,0.9831223628691982,111.9047619047619,-2.103909537596006,-2.2247289918482447,1.9511888682998701
t0114_seed7755_no_autostop,7755,60,0.9872611464968153,111.42857142857143,-2.4255003927551946,-2.0972261267946597,2.101849999736605
t0114_seed7755_no_autostop,7755,62,0.9830866807610993,111.66666666666669,-1.9476893742986519,-2.0518136341600135,2.675164743010129
t0114_seed7755_no_autostop,7755,60,0.9871794871794872,110.71428571428572,-2.0205544883231745,-2.2791492268670037,2.881286285444766
t0114_seed7755_no_autostop,7755,60,0.9871794871794872,110.71428571428572,-2.6777560771433966,-2.0019553471156364,2.9063561856528546
t0114_seed7755_no_autostop,7755,62,0.987152034261242,110.47619047619048,-2.05117875800409,-2.25784119106718,2.8996537492379555
t0114_seed7755_no_autostop,7755,58,0.987152034261242,110.47619047619048,-1.696852529840227,-2.1258059800374705,2.3262756144471712
t0114_seed7755_no_autostop,7755,59,0.987152034261242,110.47619047619048,-2.1237130356250216,-2.4164740367538173,2.8124246941705766
t0114_seed7755_no_autostop,7755,58,0.987152034261242,110.47619047619048,-2.1991983506230826,-2.056651489745262,2.884037843357925
t0114_seed7755_no_autostop,7755,56,0.987152034261242,110.47619047619048,-2.0511038011444804,-2.367649707830196,2.76274062392559
t0114_seed7755_no_autostop,7755,59,0.9829424307036246,110.71428571428572,-1.9667208068558315,-2.4635809858954842,2.780920898306712
t0114_seed7755_no_autostop,7755,60,0.9871244635193133,110.23809523809526,-1.5752168070558654,-2.517010636698542,2.6995224874351793
t0114_seed7755_no_autostop,7755,60,0.9871244635193133,110.23809523809526,-2.116395952465641,-2.107704707625545,2.7788582625378115
t0114_seed7755_no_autostop,7755,62,0.9871244635193133,110.23809523809526,-1.9279414227149028,-2.0914312886069633,2.6600668376378604
