factor_id,var_explained_pct,r_dsi,p_dsi,r_pd,p_pd,joint_factor_flag
F1,30.064811292269724,-0.5888673791333021,3.122602172480496e-82,-0.20971541616148087,4.297770952431663e-10,False
F2,14.021955204788261,-0.08551587679166922,0.01167234385375352,-0.3665669623189643,4.997475473829566e-29,False
F3,9.358596058158836,-0.17160510730591244,3.595200928945155e-07,0.7457589081209594,4.305454724257626e-155,False
F4,1.826046600295592,0.0885200142859501,0.00903214568782212,-0.23010782520754516,6.608248072434768e-12,False
F5,2.942149654333147,0.05690001379654884,0.09368173115522174,0.23003633819130362,6.710501481622002e-12,False
F6,1.3476078012417159,-0.22184475500664835,3.769234270736297e-11,0.032632507537622854,0.33663332103232907,False
F7,1.3557632595904185,0.08725184504075965,0.010073765842044178,-0.00895868909456405,0.7919982884130404,False
F8,1.865845732249334,0.014123449822696326,0.677582781129524,-0.03768700059287025,0.26710120298925466,False
F9,1.0976858427445935,-0.025508869121978365,0.4526461375456067,0.07045855718104681,0.03783611243323759,False
F10,1.377395668005565,-0.05928962520652854,0.08067056893938855,-0.09500939142884829,0.00506178870859582,False
