seed,mean_disp_pc12,mean_disp_68d,p95_disp_pc12,p95_disp_68d,n_survivors,n_gen0
44,15.02608728437833,61.25216073742437,16.234027402957384,61.489129585892776,121,96
77,8.501465597172535,59.72617988483493,10.038236276516255,61.65115924944845,10,96
7755,13.304771207326493,60.575893732910494,14.794818874141303,61.14241672310301,675,96
9354,2.369641074999304,60.07269805991032,3.652413535046659,60.83899589258909,63,96
