cluster_id,source_task,seed,generation,individual_idx,dsi_vector_sum,pd_rate_hz,pc1_combined,pc2_combined
2,t0106_long_pdnd_nsga2_300gen,44,18,1636,0.8205128205128206,33.80952380952381,8.284258872447436,-4.18173964214335
2,t0106_long_pdnd_nsga2_300gen,44,19,1731,0.9605633802816902,82.85714285714286,8.252236032765722,-5.333402764020577
2,t0106_long_pdnd_nsga2_300gen,44,19,1732,1.0,14.761904761904765,10.397449773945862,1.4090229852347718
2,t0106_long_pdnd_nsga2_300gen,44,20,1835,0.8846153846153846,11.666666666666666,9.125008004824428,-1.579365081663478
2,t0106_long_pdnd_nsga2_300gen,44,21,1924,1.0,20.238095238095237,10.306322723733228,1.405954382899511
1,t0106_long_pdnd_nsga2_300gen,44,21,1932,0.9692307692307693,15.238095238095239,11.988980939793908,2.6852781733792814
2,t0106_long_pdnd_nsga2_300gen,44,22,2021,0.9497907949790795,55.47619047619048,8.722594984996755,-5.779849843977087
2,t0106_long_pdnd_nsga2_300gen,44,22,2029,0.8601398601398601,31.66666666666667,9.616642980354408,-5.694059316071769
2,t0106_long_pdnd_nsga2_300gen,44,23,2126,1.0,12.380952380952381,10.700551778159888,-0.9306672449854946
2,t0106_long_pdnd_nsga2_300gen,44,24,2212,0.7251184834123223,86.66666666666667,8.787611884905854,-4.55858045474627
0,t0106_long_pdnd_nsga2_300gen,44,24,2213,0.9791666666666667,22.61904761904762,7.793644823317248,-5.875445855077294
2,t0106_long_pdnd_nsga2_300gen,44,24,2215,0.8762886597938144,65.0,8.391653646397021,-5.127321300487937
2,t0106_long_pdnd_nsga2_300gen,44,25,2309,1.0,67.85714285714286,7.912183114830014,-4.502437248293074
2,t0106_long_pdnd_nsga2_300gen,44,25,2315,0.710455764075067,75.95238095238095,9.235614911970075,-5.430171428643587
2,t0106_long_pdnd_nsga2_300gen,44,25,2318,1.0,64.28571428571429,9.708553165255221,-3.6074173215281258
