source_task,seed,generation,dsi_vector_sum,pd_rate_hz,ephys_pc1,ephys_pc2,ephys_pc3
t0115_seed9354_no_autostop,9354,42,0.7899159663865546,50.714285714285715,6.003247180388042,6.718992404533146,3.4480692231895036
t0115_seed9354_no_autostop,9354,49,0.8913043478260869,41.42857142857143,6.1578305520824355,7.235686064046556,1.7244521104923887
t0115_seed9354_no_autostop,9354,55,0.8391959798994975,43.57142857142858,6.079783835995482,6.916687042546562,3.1983093981408843
t0115_seed9354_no_autostop,9354,52,0.9390243902439025,37.85714285714286,6.999792833697455,7.916818126151746,1.9934741080392708
t0115_seed9354_no_autostop,9354,53,0.9166666666666666,38.333333333333336,7.619154560542243,8.457435707130886,2.717792341007486
t0115_seed9354_no_autostop,9354,42,0.75,46.666666666666664,5.035230510013133,5.219474506181375,1.823460195124309
t0115_seed9354_no_autostop,9354,53,0.9493670886075949,36.66666666666667,6.034934178489581,7.245751799798637,1.7344146711407094
t0115_seed9354_no_autostop,9354,36,0.949044585987261,36.42857142857143,6.382099838688019,8.29194513511766,2.8196718405232626
t0115_seed9354_no_autostop,9354,51,0.9735099337748345,35.476190476190474,6.791713375215874,6.785519374923506,1.7142204518546496
t0115_seed9354_no_autostop,9354,53,0.915151515151515,37.61904761904762,6.722135439352102,7.502936793577018,1.9011348213729569
t0115_seed9354_no_autostop,9354,44,0.8750000000000001,39.285714285714285,7.113421873655025,7.874829764250027,2.623232329593161
t0115_seed9354_no_autostop,9354,52,0.7345132743362832,46.666666666666664,4.740164319353962,5.532077045093449,1.9732283783315852
t0115_seed9354_no_autostop,9354,50,0.9141104294478527,37.142857142857146,6.753393297255908,8.447868122292881,2.7544593179117505
t0115_seed9354_no_autostop,9354,42,0.9602649006622517,35.23809523809524,6.532504150921057,7.792578088483745,2.35421656938535
t0115_seed9354_no_autostop,9354,53,0.7889447236180904,42.38095238095239,5.921549352238535,7.42616553600519,2.230244194777758
