,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
NAV16_SOMA_GBAR,-0.6686677844862164,0.02869490187053337,0.06844124647430774,-0.0551744084586771,-0.04927427119717179,-0.08993470220646388,0.00875739282593172,-0.059356565381609404,-0.003114763620182159,0.10691390794969458
NAV16_PRIMARY_GBAR,0.28496351176259627,0.0315874270968703,-0.3690537382834511,0.3153636644002933,0.03105650672591619,0.1082365470375607,0.0625909550675613,-0.11577831480264013,-0.025793284605852757,0.03452442919816567
NAV16_MID_GBAR,0.2554257214453824,-0.03233387090166727,-0.14806974952936156,-0.22036785457520203,0.168833332665791,0.026566834346783322,0.1311116211051233,-0.41333599309394853,-0.02362784760092505,0.0007522795418236847
NAV16_TERMINAL_GBAR,-0.026311446231616197,0.0754290367337169,-0.1389943423050855,-0.0841454558039183,-0.11093490955471198,-0.12149863337437801,0.1184968051408283,-0.06557028809428624,-0.08289766252193059,0.1608483696804684
NAV16_AIS_GBAR,-0.41149078152878554,0.19881790252660975,0.18869796794168703,-0.012878903677269264,0.004687127231978234,0.033574875998302646,0.02847365998022031,0.03206890075174171,0.3408136700904477,0.13453563460379211
KV3_SOMA_GBAR,-0.10932329793203051,0.13909210072607836,-0.2822529984282068,-0.23254923422319237,0.031310238504552765,0.19218814849899063,0.09691081117990387,0.12401418972391684,-0.08519146846329728,-0.05252601366580937
KV3_PRIMARY_GBAR,-0.5718981016107741,-0.08302885039050203,0.05097745902468964,0.022870554726370756,-0.10946698277208854,0.2569619138919738,-0.03766275883310479,-0.04320636896266903,-0.10544758942410228,-0.04491430097411981
KV3_MID_GBAR,-0.050561418639356884,-0.04898849159186777,-0.04164452298169867,-0.14414045926378316,-0.1015758993772573,-0.04155090581576899,-0.017809791973257823,-0.04999596433816901,0.2832422447632155,-0.08131480526535927
KV3_TERMINAL_GBAR,-0.07235825422524156,-0.20815830188707196,0.502953091145137,-0.028620405295070768,0.023989301808976352,0.038266446475918106,0.02118757080782681,-0.0808120017375261,-0.2955835250878753,0.1522578431290677
KV3_AIS_GBAR,-0.22817173513474973,0.32085251899438655,-0.05495322559734066,-0.12419074938703946,0.5314070674981698,0.061080130077567865,-0.03214795495462579,-0.1429291527222317,-0.05738465516945914,-0.0005472931345885698
