generation,cell_index,mi_count_bits,atp_per_spike_molecules,dsi_vector_sum,pd_rate_hz,ephys_PC1,ephys_PC2,ephys_PC3,soma_share_atp
51,4810,1.4589893596666386,4756737.981196062,0.3162277660168379,2.857142857142857,-2.6941564666468136,0.31156682618324866,-2.2123490127284335,0.9448621120387578
59,5643,1.4589893596666386,4780283.875595512,0.3162277660168379,2.857142857142857,-2.650901672954619,0.3760819326632859,-2.8011846026914444,0.9450800095715677
57,5424,1.4589893596666386,4813833.841124552,0.3162277660168379,2.857142857142857,-3.2429822334860097,-0.3042408621129652,-2.2033530849703715,0.9517539967718206
59,5619,1.4589893596666386,4814029.077939525,0.3162277660168379,2.857142857142857,-3.010487984534571,0.11397282516211117,-1.5979247898881832,0.9513463226660173
59,5653,1.4589893596666386,4823611.071210141,0.3162277660168379,2.857142857142857,-2.9571828767845707,-0.19428979067487465,-2.1344031949323634,0.9517407350105553
60,5721,1.4589893596666386,4824605.16124373,0.3162277660168379,2.857142857142857,-2.8000081852163485,0.4443768354758957,-2.936655110214969,0.9526846263378042
59,5628,1.4589893596666386,4835150.933605966,0.3162277660168379,2.857142857142857,-2.8969205122006865,0.03463669752961477,-1.854589293445377,0.9460377076075752
58,5548,1.4589893596666386,4842697.139912085,0.3162277660168379,2.857142857142857,-3.327948868608556,-0.6062080525955383,-2.8091602052342264,0.946989423887937
59,5658,1.4589893596666386,4850215.827678732,0.3162277660168379,2.857142857142857,-2.950497639633271,0.20785028616228088,-2.8481128314351314,0.9458496536960213
58,5509,1.4589893596666386,4851296.084065092,0.3162277660168379,2.857142857142857,-3.015559333010297,0.102854588788809,-1.6059222814030019,0.9496772374053684
57,5452,1.4589893596666386,4857037.999473017,0.3162277660168379,2.857142857142857,-2.8963034484683194,0.02712598312313044,-1.8462189878707134,0.9465205618285627
58,5558,1.4589893596666386,4861954.853242706,0.3162277660168379,2.857142857142857,-2.6850667931015733,0.3201210111690942,-2.7948478580504728,0.9457567760892808
55,5276,1.4589893596666386,4873128.38595934,0.3162277660168379,2.857142857142857,-2.6776700373497078,0.2810024844712748,-2.7580877887114617,0.9461761569494449
57,5455,1.4589893596666386,4876918.282493034,0.3162277660168379,2.857142857142857,-2.67327237880904,0.3222066547438568,-2.7514978946614694,0.9455124009475332
53,5055,1.4589893596666386,4878037.277388223,0.3162277660168379,2.857142857142857,-2.6647240521115885,0.3178300351667128,-2.779210137710139,0.9460166413903761
