factor_id,variance_explained,r_mi,p_mi,r_atp,p_atp,r_dsi,p_dsi,r_pd,p_pd,joint_mi_atp_flag,factor_classification
F1,0.09786312825220968,-0.3576470945883536,2.1965906183994578e-173,0.20501730108867205,1.0416117785476987e-55,-0.346712209322828,2.235546227224118e-162,0.030397806175838614,0.021051270790731005,False,mi_only
F2,0.051615552036327436,0.46253618442216515,2.3645971493691202e-303,0.0629423658497805,1.7469157599854253e-06,0.41340016081620795,1.188013695662432e-236,0.2006665085474859,2.1308457617509666e-53,False,mi_only
F3,0.05958698410253668,0.2062636818692291,2.2174651373474103e-56,-0.1149712620229447,2.0803319699518504e-18,0.22986879384642,6.05663234831716e-70,-0.15921545346992794,5.162760035729407e-34,False,none
F4,0.03367350251747794,0.1107943454322243,3.3735455535887023e-17,0.032033718188251285,0.015045393968822738,0.1471541928493264,3.006400402113566e-29,0.06518806114070236,7.359848326974806e-07,False,none
F5,0.022230916391388054,0.1046615087311672,1.6736946364584166e-15,0.061460930027030486,3.042089252196297e-06,0.08030660352423645,1.0384919321865524e-09,0.0375797900409431,0.004337762368170697,False,none
F6,0.01741445656464899,0.006242865475441243,0.6357124549254399,0.04731729959216873,0.000327692630948554,0.0025297917623557133,0.847776411108561,0.10855249723710032,1.4422912969875065e-16,False,none
F7,0.013312824573712549,-0.0092052695993871,0.4848683015050521,0.08593910407026278,6.446837184840835e-11,-0.0029259641124549053,0.824300383311552,0.12938302325352674,6.278736218991001e-23,False,none
F8,0.019673252854567617,0.20375531602164892,4.937283982800677e-55,0.019381839542816325,0.14134600029647543,0.17960560781504137,5.8460984184905116e-43,0.01269861655397983,0.33525307053993497,False,none
F9,0.013571588271701006,0.02184769474888489,0.09732524706367543,-0.059103173549195885,7.170425821272039e-06,0.023746647725811514,0.0715286049189942,-0.06738407098947857,3.074859895030941e-07,False,none
F10,0.01376613788552058,0.010784631354603471,0.4131618588943669,0.020229955315457633,0.1247421926917538,0.008995613491700919,0.4948693065726675,-0.015561072903816045,0.2376752040908519,False,none
