cluster_id,generation,cell_index,mi_count_bits,atp_per_spike_molecules,dsi_vector_sum,pd_rate_hz,pc1_combined,pc2_combined
3,1,0,0.0,17988344.054772615,7.204529898187539e-17,0.7142857142857143,-6.390445411802467,-1.104592635741798
2,1,1,0.2619453616166153,25284413.83528176,0.09803921568627451,2.619047619047619,-4.999410949045656,0.40801667242492196
4,1,2,0.0,27195246.917269226,7.204529898187539e-17,0.7142857142857143,-5.242110922862125,3.3919962239924257
2,1,3,0.0,31022693.266789246,7.204529898187539e-17,0.7142857142857143,-4.310470467091467,-0.13122327036578044
4,1,4,0.0,18244303.179105602,5.897955049882633e-17,4.285714285714286,-5.572631059916526,-0.514267640934365
4,1,5,0.0,20174722.98812283,7.204529898187539e-17,0.7142857142857143,-4.271676441689319,0.5282298069849083
4,1,6,0.0,27199314.18992096,7.204529898187539e-17,0.7142857142857143,-8.084681616862794,0.5902415265843993
4,1,7,0.0,12705942.733375179,7.204529898187539e-17,0.7142857142857143,-6.115418560604734,0.9456938692420063
4,1,8,0.0,15075282.542278035,5.649027278170325e-17,19.28571428571429,-5.326733074261313,-1.062166996752858
4,1,9,0.0,27828567.02928474,7.204529898187539e-17,0.7142857142857143,-7.979598824709098,-1.2067224965845886
0,1,10,0.0,238874801.1384035,7.204529898187539e-17,0.7142857142857143,-8.794876584496308,-1.8602223700211833
4,1,11,0.0,48710631.904302634,5.52000058772841e-17,20.714285714285715,-6.412754210170107,0.3850439058182379
0,1,12,0.0,25838716.682045527,6.956047515495781e-17,12.142857142857144,-5.532003702266316,-2.7094243125847997
4,1,13,0.0,24733190.774424892,5.897955049882633e-17,2.142857142857143,-4.245763836702775,0.014662342659462087
4,1,14,0.0,101794020.07604188,7.204529898187539e-17,0.7142857142857143,-4.6280221216112984,-0.16954082545519603
3,1,15,0.0,20000000000.0,0.0,0.0,-4.297788441080092,-3.4244688070651375
4,1,16,0.0,25862730.666739374,7.204529898187539e-17,0.7142857142857143,-7.022759110291821,-0.8482450994024906
0,1,17,0.0,56436385.98066711,7.204529898187539e-17,0.7142857142857143,-8.632785347069142,-2.134774740228471
4,1,18,0.0,54688787.47991017,7.204529898187539e-17,0.7142857142857143,-8.03143162799032,0.36705113343956425
0,1,19,0.0,44221000.092730656,5.581431114489108e-17,5.0,-6.426858365903386,-2.321336282466707
4,1,20,0.0,57559530.42362746,7.204529898187539e-17,0.7142857142857143,-7.452255516218912,-1.0027969428236898
4,1,21,0.0,77908195.0559635,7.204529898187539e-17,0.7142857142857143,-7.077110679274514,-0.8730686180677152
4,1,22,0.0,57684068.50465425,7.204529898187539e-17,0.7142857142857143,-5.953754426811587,0.9730895926489534
2,1,23,0.0,20000000000.0,0.0,0.0,-6.582775799062524,-0.19788398568753143
0,1,24,0.0,64856054.908658765,7.204529898187539e-17,2.857142857142857,-8.222295608560513,-1.0035770318684825
