partition,reference,nmi,chi2_p,n_cells
electrophys_cluster,MI_quartile_group,0.178267104395729,1.0027788351600576e-236,3125
electrophys_cluster,ATP_quartile_group,0.18583183461079741,1.0306122263860974e-235,3125
morphology_cluster,MI_quartile_group,0.12103800570268992,7.15108661733587e-162,3125
morphology_cluster,ATP_quartile_group,0.1761548740550147,1.3180647514905278e-258,3125
