generation,cell_index,mi_count_bits,atp_per_spike_molecules,corner_label,share_soma,share_ais,share_dend
1,1,0.2619453616166153,25284413.83528176,low_mi_high_atp,0.8104471900452206,0.01481279572742013,0.17474001422735938
1,4,0.0,18244303.179105602,low_mi_high_atp,0.5087494558452944,0.05198230425489537,0.4392682398998103
1,8,0.0,15075282.542278035,low_mi_high_atp,0.6895678916406665,0.061644861099945526,0.24878724725938797
1,11,0.0,48710631.904302634,low_mi_high_atp,0.1770481621865061,0.05459577500267931,0.7683560628108145
1,12,0.0,25838716.682045527,low_mi_high_atp,0.47485540134653864,0.09458005267464405,0.43056454597881727
1,13,0.0,24733190.774424892,low_mi_high_atp,0.37385684357798143,0.021474248047818653,0.6046689083742
1,19,0.0,44221000.092730656,low_mi_high_atp,0.23418561349679337,0.019403612252216762,0.7464107742509899
1,24,0.0,64856054.908658765,low_mi_high_atp,0.1494220321480565,0.016145520665311674,0.8344324471866318
1,34,0.4589893596666389,60119206.547481455,low_mi_high_atp,0.20555964709836513,0.02041529263130852,0.7740250602703264
1,42,0.0,9207250.128801038,low_mi_high_atp,0.9383531790587883,0.053482500704576205,0.008164320236635506
1,58,0.0,90578039.10834783,low_mi_high_atp,0.10248578944062318,0.008782830259523576,0.8887313802998532
1,59,0.0,33463186.924191628,low_mi_high_atp,0.18236501414819697,0.012592792388920573,0.8050421934628824
1,65,0.0039060116788910415,73151134.30548191,low_mi_high_atp,0.09994516556990413,0.01298461364772591,0.8870702207823699
1,70,0.0,36756402.44637909,low_mi_high_atp,0.28596080833676196,0.02561541383781453,0.6884237778254234
1,71,0.0,53109530.5237492,low_mi_high_atp,0.23915185474296763,0.027487090375242013,0.7333610548817905
1,73,0.0039060116788910415,35284336.74681314,low_mi_high_atp,0.652297454708976,0.013871559964955468,0.33383098532606836
1,81,0.0,70071914.79304536,low_mi_high_atp,0.21715846804734992,0.01855653910102954,0.7642849928516204
2,98,0.0,34208056.03565014,low_mi_high_atp,0.23252789234195048,0.053432372790396185,0.7140397348676534
2,103,0.0,16614265.522380846,low_mi_high_atp,0.7185844069212156,0.16790319095764938,0.11351240212113489
2,109,0.0,45965763.15392523,low_mi_high_atp,0.2345524447252932,0.022568494554005062,0.7428790607207018
2,113,0.0039060116788910415,23077798.206979483,low_mi_high_atp,0.4516508034422077,0.1200499815123696,0.4282992150454227
2,118,0.0,26705530.78916109,low_mi_high_atp,0.3688454377116433,0.04025695064581406,0.5908976116425426
2,127,0.0,26357305.36414273,low_mi_high_atp,0.44507573885408613,0.08572110891454943,0.4692031522313645
2,128,0.0,31423240.21847089,low_mi_high_atp,0.43232444191531944,0.025573969792776527,0.542101588291904
2,131,0.0,14357009.83218954,low_mi_high_atp,0.9385207003289905,0.0597522108229114,0.0017270888480980255
2,133,0.0,10505250.042908171,low_mi_high_atp,0.9468559637720771,0.04820569112635068,0.004938345101572218
2,142,0.049237078402501966,39814885.246571966,low_mi_high_atp,0.20196313621226503,0.019078570010895753,0.7789582937768393
2,143,0.0,44325975.52413724,low_mi_high_atp,0.17631421667578515,0.005869886482560929,0.817815896841654
2,146,0.0,254268683.3930532,low_mi_high_atp,0.07692896460000999,0.0024366256379887968,0.9206344097620012
2,150,0.0,34326606.351191975,low_mi_high_atp,0.3433202868944278,0.03281389821286947,0.6238658148927028
2,158,0.0,50984464.93330252,low_mi_high_atp,0.21319853651070184,0.010425023551637876,0.7763764399376603
2,161,0.29232269299997204,42429143.31954922,low_mi_high_atp,0.256186698605579,0.02362147907280631,0.7201918223216147
2,163,0.0,27106456.476219628,low_mi_high_atp,0.5586192889350317,0.0359352986801627,0.40544541238480575
2,165,0.0,14041986.578792572,low_mi_high_atp,0.6870152073473458,0.04901368883192427,0.26397110382072997
2,167,0.18017832275051465,149546639.81078908,low_mi_high_atp,0.07591051935544368,0.006675734710353093,0.9174137459342031
2,169,0.001702535244156922,18373611.865595594,low_mi_high_atp,0.8612809507944033,0.03234351674789302,0.10637553245770377
2,175,0.0,24963498.247837663,low_mi_high_atp,0.41743532089825874,0.04448342017929822,0.5380812589224431
2,176,0.0,39890209.5062581,low_mi_high_atp,0.15604805876627612,0.013911948088400442,0.8300399931453235
2,177,0.17179332732076766,46118133.31903141,low_mi_high_atp,0.15690614229730065,0.012467308271109824,0.8306265494315894
2,188,0.0,46781607.554977804,low_mi_high_atp,0.29406299508583567,0.018129193769890212,0.687807811144274
3,195,0.0039060116788910415,32240446.245803274,low_mi_high_atp,0.19905867393567156,0.02437927787422607,0.7765620481901023
3,196,0.0,24509325.07298109,low_mi_high_atp,0.3713662104730963,0.021093990857624416,0.6075397986692792
3,198,0.5984741568050038,35921156.71603629,high_mi_high_atp,0.27994895905599043,0.020125558881034154,0.6999254820629753
3,202,0.0,12480918.960981797,low_mi_high_atp,0.7335933703478416,0.14340073010531787,0.12300589954684049
3,203,0.0,78623580.02218042,low_mi_high_atp,0.10153461509834727,0.021457005865795964,0.8770083790358568
3,205,0.0,91016674.47006021,low_mi_high_atp,0.23010165519928125,0.004200391073343228,0.7656979537273756
3,207,0.0,23457027.225801487,low_mi_high_atp,0.3070439173496946,0.035713597099366015,0.6572424855509393
3,208,0.0,27157574.225816067,low_mi_high_atp,0.3567782834580865,0.05390809807371147,0.5893136184682021
3,210,0.0,13739464.57725057,low_mi_high_atp,0.9400964449114242,0.05911853097370675,0.0007850241148690356
3,216,0.0,14056336.112198146,low_mi_high_atp,0.7324895663721718,0.10878517157807532,0.15872526204975285
3,218,0.0,150596399.14333668,low_mi_high_atp,0.07618858179694254,0.004720070622608167,0.9190913475804492
3,220,0.0,27740368.421939332,low_mi_high_atp,0.32195022712066107,0.03417991581786443,0.6438698570614745
3,223,0.0,18526685.96536325,low_mi_high_atp,0.48935283469960544,0.09396700795169008,0.41668015734870445
3,225,0.0,19269016.007261485,low_mi_high_atp,0.4696792131773316,0.03410001587626478,0.4962207709464036
3,229,0.0,54423636.916083865,low_mi_high_atp,0.25559014645380695,0.00688159123499904,0.7375282623111941
3,231,0.0,154630835.24154007,low_mi_high_atp,0.062488695181319526,0.0038273967540348943,0.9336839080646456
3,236,0.0,24425019.95500601,low_mi_high_atp,0.3898869302509377,0.033934887974795616,0.5761781817742667
3,237,0.0,25571218.20098761,low_mi_high_atp,0.5421506307057359,0.05164141537345035,0.4062079539208138
3,241,0.0,284585770.17144436,low_mi_high_atp,0.03920689623319205,0.00262502126787684,0.9581680824989312
3,244,0.0,10314124.821882378,low_mi_high_atp,0.960215286611818,0.03941736964455489,0.0003673437436270597
3,245,0.0,16200429.80134179,low_mi_high_atp,0.9172384724307938,0.04176976652086918,0.04099176104833697
3,253,0.0,25935388.134988617,low_mi_high_atp,0.4401778264427264,0.09395450445594215,0.4658676691013314
3,254,0.0,44893393.89502226,low_mi_high_atp,0.25894265821393136,0.020256971536982266,0.7208003702490864
3,256,0.38427294697999226,25224782.044979602,low_mi_high_atp,0.2512544610458303,0.07271358282324061,0.676031956130929
3,261,0.06274873448634988,11346952.79741555,low_mi_high_atp,0.9418011249566288,0.05791093086410657,0.0002879441792644943
3,263,0.0,83698784.71305586,low_mi_high_atp,0.0959771517309805,0.01128289132842937,0.8927399569405902
3,268,0.0,16707020.788467547,low_mi_high_atp,0.6270370211316426,0.0664979491381658,0.3064650297301915
3,272,0.0,21648923.4731714,low_mi_high_atp,0.49742280191267707,0.02760869317756029,0.47496850490976256
3,277,0.0,27593910.695167527,low_mi_high_atp,0.4246679964502063,0.024074338766286552,0.551257664783507
3,278,0.0,15780257.759867141,low_mi_high_atp,0.9249472589033614,0.0711672756224104,0.003885465474228186
3,281,0.06274873448634977,18195320.18877725,low_mi_high_atp,0.8704973604735495,0.03258934570289751,0.09691329382355306
4,289,0.0,14522106.078051992,low_mi_high_atp,0.5937612833384694,0.12180131589087424,0.28443740077065643
4,293,0.059774702912490985,11130767.640567886,low_mi_high_atp,0.9740351786643935,0.023155096794988027,0.0028097245406184324
4,296,0.0,13402836.639802605,low_mi_high_atp,0.6973806397192867,0.05205857300329424,0.250560787277419
4,297,0.0,18464324.350246213,low_mi_high_atp,0.7006926282137007,0.06258523025872913,0.2367221415275701
4,303,0.0,18929370.07718541,low_mi_high_atp,0.7701622661331965,0.02602375778798317,0.20381397607882043
4,307,0.10894890839440269,34906995.58856602,low_mi_high_atp,0.3484959672957977,0.03747576571359588,0.6140282669906064
4,308,0.0,10107183.598149596,low_mi_high_atp,0.9450813038950836,0.04983734409713253,0.005081352007783787
4,313,0.0,22940323.22485214,low_mi_high_atp,0.28939758568870255,0.030927062119792688,0.6796753521915048
4,315,0.0,30643552.251066342,low_mi_high_atp,0.3278380640868173,0.01833964493352295,0.6538222909796597
4,322,0.0,17782285.373808887,low_mi_high_atp,0.789465348209915,0.026893737969662365,0.18364091382042258
4,325,0.0,37239692.14899929,low_mi_high_atp,0.313132699431781,0.05581322681246764,0.6310540737557513
4,328,0.0,15832514.503348378,low_mi_high_atp,0.5152841050250722,0.14876430457521997,0.3359515903997078
4,329,0.0,17922142.85739744,low_mi_high_atp,0.7130238001062085,0.046770177793616016,0.2402060221001756
4,332,0.0,11870970.288821073,low_mi_high_atp,0.7474181480045021,0.08829693411417898,0.16428491788131885
4,334,0.10894890839440247,12371991.619143454,low_mi_high_atp,0.8440284252084397,0.030122366089500602,0.12584920870205976
4,339,0.0,58248147.39817599,low_mi_high_atp,0.30383239752576857,0.03736629505237738,0.6588013074218542
4,341,0.0,56784041.78359352,low_mi_high_atp,0.18598511339252324,0.010171406067814541,0.8038434805396621
4,342,0.0,12974114.813811017,low_mi_high_atp,0.7344512304967538,0.010898495982987,0.25465027352025926
4,344,0.0,46103441.56396433,low_mi_high_atp,0.20741402942514311,0.031261633876321485,0.7613243366985354
4,345,0.0,20574537.972727463,low_mi_high_atp,0.49272845747454885,0.03459816649498306,0.47267337603046794
4,348,0.24011158302361144,245308228.16750082,low_mi_high_atp,0.02636275766224027,0.0026825210581421844,0.9709547212796175
4,349,0.0,35992716.35932922,low_mi_high_atp,0.22888125743504004,0.0219638536525072,0.7491548889124527
4,351,0.0,42389905.607086755,low_mi_high_atp,0.1503534091101839,0.016033418263616588,0.8336131726261995
4,353,0.0,25604064.27663647,low_mi_high_atp,0.44594460548089127,0.024157265159161834,0.5298981293599468
4,354,0.0,18530621.076084234,low_mi_high_atp,0.4243906509763992,0.030468843240575614,0.5451405057830252
4,356,0.0,56435678.29429114,low_mi_high_atp,0.18145628663960012,0.027279137571746218,0.7912645757886537
4,361,0.0,23444921.357919395,low_mi_high_atp,0.4776838894375357,0.12086257976221221,0.40145353080025215
4,365,0.0,15837145.63133499,low_mi_high_atp,0.8727983456822511,0.07004129474904057,0.0571603595687083
4,367,0.0,23526918.01699837,low_mi_high_atp,0.7220379506714815,0.04095022656605102,0.23701182276246754
4,369,0.0,20771149.504475247,low_mi_high_atp,0.5203929821850853,0.028224257582100027,0.45138276023281454
4,375,0.0,17185498.58783726,low_mi_high_atp,0.48725084169306937,0.03411915617218058,0.47863000213475015
4,376,0.0,13753538.540766519,low_mi_high_atp,0.9359797855187151,0.06363499064367306,0.00038522383761181766
4,377,0.0,23263431.664391357,low_mi_high_atp,0.4963898498144785,0.12210827875932073,0.38150187142620073
4,378,0.0,17373679.947149727,low_mi_high_atp,0.4954373597108987,0.01655123641707262,0.4880114038720287
4,380,0.4726595731110926,31364419.4578117,low_mi_high_atp,0.5060107472966684,0.02093659048523004,0.47305266221810155
5,386,0.0,18559417.87633124,low_mi_high_atp,0.39859169331072886,0.03463437043145415,0.5667739362578169
5,389,0.0,14497345.400735429,low_mi_high_atp,0.687750520036737,0.046363698129598854,0.2658857818336641
5,392,0.0,8020381.775917018,low_mi_high_atp,0.8008321060237278,0.06245002411706187,0.1367178698592104
5,396,0.0,62028528.45071047,low_mi_high_atp,0.16349868860169464,0.01918667144189214,0.8173146399564133
5,397,0.15469898846636965,11112200.445304902,low_mi_high_atp,0.9666013559134359,0.030170025828287133,0.003228618258276991
5,399,0.9643374506019364,7450268.328193882,high_mi_high_atp,0.89116807149298,0.05561441670070182,0.05321751180631811
5,403,0.0,8591035.084089562,low_mi_high_atp,0.9606837375194444,0.038377919898989726,0.0009383425815657649
5,404,0.0,18960365.800221544,low_mi_high_atp,0.7731682943885463,0.03976919510224269,0.187062510509211
5,405,0.0,9859141.14001999,low_mi_high_atp,0.8797053166075615,0.06232460498196811,0.05797007841047041
5,407,0.18017832275051465,35930332.31971543,low_mi_high_atp,0.26095569736597124,0.026459441488520512,0.7125848611455082
5,410,0.0,11787170.465898398,low_mi_high_atp,0.8504665134347114,0.1465497806796083,0.002983705885680268
5,414,0.0,17988435.09261495,low_mi_high_atp,0.44750355082316934,0.04105190692312518,0.5114445422537054
5,417,0.0,31045292.692557435,low_mi_high_atp,0.4769947384915272,0.0212053174035858,0.5017999441048869
5,418,0.0,19862250.060241807,low_mi_high_atp,0.3820477796041687,0.058401388659366685,0.5595508317364646
5,420,0.0,10844321.582393987,low_mi_high_atp,0.9345576465074794,0.04959377565953457,0.015848577832986
5,421,0.0,14047632.614167338,low_mi_high_atp,0.7090637591250477,0.06430145217335187,0.22663478870160045
5,424,0.0,37448016.51232484,low_mi_high_atp,0.39528445669510553,0.021467255172508987,0.5832482881323854
5,428,0.0,25255433.92257138,low_mi_high_atp,0.3500522983959061,0.04170819110525034,0.6082395104988436
5,432,0.0,42534005.542706385,low_mi_high_atp,0.296654945423903,0.023885988524636123,0.6794590660514609
5,439,0.0,10026577.642880864,low_mi_high_atp,0.9516374198734999,0.04798852804352197,0.0003740520829781343
5,440,0.0,10731558.890251298,low_mi_high_atp,0.639012013897674,0.040856394538400856,0.32013159156392507
5,443,0.0,10783750.581390532,low_mi_high_atp,0.866264203067945,0.13167910366957622,0.0020566932624787
5,446,0.0,18148613.49371161,low_mi_high_atp,0.3839158368781084,0.0692311328807131,0.5468530302411787
5,447,0.0,14829307.287899837,low_mi_high_atp,0.9685998952791058,0.028812640632399925,0.002587464088494212
5,451,0.0,10909127.588985385,low_mi_high_atp,0.911788537327382,0.08547364643085124,0.0027378162417668276
5,452,0.0,18330207.31861201,low_mi_high_atp,0.9054113014136548,0.0683991148263421,0.026189583760003115
5,454,0.0,12785407.010781983,low_mi_high_atp,0.6094056923879739,0.07832369618901727,0.3122706114230089
5,455,0.0,19226029.50320473,low_mi_high_atp,0.6318526821741409,0.0382585334259191,0.32988878439993985
5,467,0.0,15892205.351512125,low_mi_high_atp,0.6004955509163749,0.07008236785286401,0.3294220812307612
5,473,0.5699579180264102,56126545.5971889,high_mi_high_atp,0.1439716460585966,0.011840219132745895,0.8441881348086575
5,475,0.0,53987602.68249267,low_mi_high_atp,0.1682211575438165,0.01689956640410758,0.8148792760520759
5,477,0.0,56542605.91145187,low_mi_high_atp,0.18748763239321872,0.020093062539145216,0.792419305067636
5,478,0.0,18271507.818770625,low_mi_high_atp,0.5172984036500993,0.038290852892004644,0.44441074345789594
5,479,0.0,9920028.640974902,low_mi_high_atp,0.8910250557411993,0.10663859852770027,0.0023363457311004155
6,480,0.0,11730726.848502394,low_mi_high_atp,0.9791845570900114,0.020338432347812685,0.0004770105621758698
6,482,0.17179332732076766,18021811.45131802,low_mi_high_atp,0.35969513606515163,0.046149276609444505,0.594155587325404
6,483,0.0,11221804.846601577,low_mi_high_atp,0.8426288504377657,0.1546697560105458,0.002701393551688631
6,488,0.0,20450798.93801387,low_mi_high_atp,0.9049809459357577,0.0936691256940105,0.0013499283702317387
6,490,0.0,16316731.278870113,low_mi_high_atp,0.5377167333621004,0.03754875164620243,0.4247345149916973
6,491,0.0,7918810.74574823,low_mi_high_atp,0.9173358170634651,0.07848716011170336,0.004177022824831444
6,492,0.6309412443480125,12165542.089586638,high_mi_high_atp,0.7253505108471759,0.09472121805125816,0.17992827110156584
6,500,0.0,12776015.899782289,low_mi_high_atp,0.6493415246858747,0.06361923343195902,0.28703924188216634
6,503,0.0,14141643.228244277,low_mi_high_atp,0.6850706634166058,0.03579965354540245,0.2791296830379917
6,510,0.17179332732076766,36342916.9836783,low_mi_high_atp,0.17665734983688527,0.025450273886759946,0.7978923762763547
6,514,0.0,13997568.925385838,low_mi_high_atp,0.5865048971727976,0.04395671781508858,0.3695383850121137
6,516,0.0,9906855.96243099,low_mi_high_atp,0.9578929368348919,0.04068065388672271,0.0014264092783853426
6,517,0.10894890839440247,29889327.280033927,low_mi_high_atp,0.28853456434411423,0.027329462598539623,0.6841359730573461
