partition,n_cells,mean_pc12_displacement,p95_pc12_displacement,mean_68d_displacement,p95_68d_displacement
overall,5760,7.1288508553535594,10.073185195824022,10.999750588047819,11.730780004899168
high_mi_low_atp,1222,9.498383507138273,10.32349525800172,11.144238224870463,11.75306106400506
high_mi_high_atp,346,7.32946184227341,9.934394201553733,11.014971457708457,11.77865252972656
low_mi_low_atp,1307,8.511854320850405,9.813794229191693,11.065336660251223,11.6523882072656
low_mi_high_atp,2885,5.474581936338112,9.37489339603379,10.907011832599048,11.74682742333214
