parameter,high_mi_low_atp,high_mi_high_atp,low_mi_low_atp,low_mi_high_atp
NAV16_SOMA_GBAR,0.4154874806320555,0.3153275990230121,0.40839341013609576,-0.19534161045314127
NAV16_PRIMARY_GBAR,-0.3662073171709164,0.28706201211748134,-0.23819404820442594,0.38270624094969213
NAV16_MID_GBAR,-0.47021459954063105,0.05960904678586392,-0.2801366568191874,0.2584036147483307
NAV16_TERMINAL_GBAR,-0.08265046481464648,0.0585111111147889,-0.19868329125854678,0.10397295134411513
NAV16_AIS_GBAR,0.5706083928369261,0.0907485592075812,0.4034277573323276,-0.2750345513852572
KV3_SOMA_GBAR,0.02584634045373323,0.3289268862175267,-0.1705612352685937,0.13900965343435692
KV3_PRIMARY_GBAR,0.25832228735892154,0.2863630184815428,0.24864040325838574,-0.23926487683465297
KV3_MID_GBAR,-0.05842435690186463,-0.029631022418974157,-0.08947009362828554,0.02320216826199853
KV3_TERMINAL_GBAR,0.17338967628342064,-0.46391366795087624,0.2458755715986185,-0.3709424395157074
KV3_AIS_GBAR,0.3955962997291992,0.5342616564955976,-0.05313748476601363,-0.007441109428624948
NAP_SOMA_GBAR,-0.7613191086236383,-0.5665736230015348,-0.37827559409712536,-0.614837305860263
NAP_PRIMARY_GBAR,0.25047413475668645,0.2941468917280545,-0.1734577528366556,0.27086149236288604
NAP_MID_GBAR,-0.36568487404195543,0.4769493838063987,-0.35575414395887295,0.4588022554192782
NAP_TERMINAL_GBAR,-0.2686587036521192,0.3167010101869149,-0.08477287719004177,0.11819449118969026
NAP_AIS_GBAR,-0.12701029017244703,-0.2664587203971986,0.04688887227609418,-0.1457471126208487
BK_SOMA_GBAR,-0.6299156781649053,0.6019315048697473,-0.5543343873980766,0.43223860221211075
BK_PRIMARY_GBAR,0.35972730573862205,0.33274810797391763,0.16541266008430347,-0.11692698840436073
BK_MID_GBAR,0.19677203617750047,-0.3930329061897991,0.07199060189002941,-0.2136405407828909
BK_TERMINAL_GBAR,0.14964194860141422,0.47001998413373464,0.00938515798657229,-0.02143088985944518
BK_AIS_GBAR,-0.2062424504388209,-0.02059321142348782,0.05481629078301885,-0.1978467646115736
SK_SOMA_GBAR,0.7998413421543267,0.4089267939161765,0.19769451584796402,0.11370499209685926
SK_PRIMARY_GBAR,0.25585836154994956,0.2796053521002679,0.25494881036018957,-0.04803121009198946
SK_MID_GBAR,0.09505698651725182,0.1901202987533063,-0.05698823752979383,0.09801592701713485
SK_TERMINAL_GBAR,-0.5770834681637137,-0.3362844764888975,-0.4347414628519775,0.15421958693346863
SK_AIS_GBAR,0.513993450734933,0.21550184674708894,0.21597203636396856,-0.33578068375543957
KDR_GBAR,-0.5586043762665922,0.4211766594327518,-0.4430309744552152,0.6297794595423153
KV4_GBAR,0.42891105469646107,-0.362815846206981,0.37049224327509794,-0.4262740700608331
NAR_GBAR,-0.4012469537753331,-0.24046823300348014,-0.251183975645441,0.4423692735340027
IH_GBAR,-0.7462379643054918,-0.6988900639893025,-0.2691308598910694,0.3125558015936913
CAL_GBAR,-0.32413221454159674,0.3402547619964402,-0.3034057271676216,0.13793732594958483
CAT_GBAR,-0.43048326639278034,-0.24601343432702164,-0.2853654993311134,0.1968771071705192
