mode,direction,t_ms,v_mv
FULL,PD,0.0000,-65.000000
FULL,PD,0.1000,-64.732241
FULL,PD,0.2000,-64.486453
FULL,PD,0.3000,-64.254778
FULL,PD,0.4000,-64.034185
FULL,PD,0.5000,-63.823144
FULL,PD,0.6000,-63.623158
FULL,PD,0.7000,-63.434203
FULL,PD,0.8000,-63.254391
FULL,PD,0.9000,-63.082966
FULL,PD,1.0000,-62.923641
FULL,PD,1.1000,-62.769009
FULL,PD,1.2000,-62.625043
FULL,PD,1.3000,-62.489816
FULL,PD,1.4000,-62.358067
FULL,PD,1.5000,-62.234922
FULL,PD,1.6000,-62.117519
FULL,PD,1.7000,-62.007008
FULL,PD,1.8000,-61.900693
FULL,PD,1.9000,-61.800056
FULL,PD,2.0000,-61.704926
FULL,PD,2.1000,-61.615999
FULL,PD,2.2000,-61.530439
FULL,PD,2.3000,-61.449332
FULL,PD,2.4000,-61.373164
FULL,PD,2.5000,-61.300452
FULL,PD,2.6000,-61.231703
FULL,PD,2.7000,-61.166050
FULL,PD,2.8000,-61.104330
FULL,PD,2.9000,-61.045164
FULL,PD,3.0000,-60.989436
FULL,PD,3.1000,-60.936198
FULL,PD,3.2000,-60.886624
FULL,PD,3.3000,-60.838731
FULL,PD,3.4000,-60.793376
FULL,PD,3.5000,-60.750981
FULL,PD,3.6000,-60.710349
FULL,PD,3.7000,-60.672075
FULL,PD,3.8000,-60.635901
FULL,PD,3.9000,-60.601457
FULL,PD,4.0000,-60.568656
FULL,PD,4.1000,-60.537684
FULL,PD,4.2000,-60.508277
FULL,PD,4.3000,-60.480574
FULL,PD,4.4000,-60.453860
FULL,PD,4.5000,-60.428728
FULL,PD,4.6000,-60.404877
FULL,PD,4.7000,-60.382325
FULL,PD,4.8000,-60.360928
FULL,PD,4.9000,-60.340549
FULL,PD,5.0000,-60.321256
FULL,PD,5.1000,-60.303262
FULL,PD,5.2000,-60.285876
FULL,PD,5.3000,-60.269503
FULL,PD,5.4000,-60.254122
FULL,PD,5.5000,-60.239463
FULL,PD,5.6000,-60.225468
FULL,PD,5.7000,-60.212287
FULL,PD,5.8000,-60.199704
FULL,PD,5.9000,-60.187773
FULL,PD,6.0000,-60.176478
FULL,PD,6.1000,-60.165687
FULL,PD,6.2000,-60.155481
FULL,PD,6.3000,-60.145923
FULL,PD,6.4000,-60.136868
FULL,PD,6.5000,-60.128302
FULL,PD,6.6000,-60.119994
FULL,PD,6.7000,-60.112225
FULL,PD,6.8000,-60.104874
FULL,PD,6.9000,-60.097904
FULL,PD,7.0000,-60.091285
FULL,PD,7.1000,-60.085050
FULL,PD,7.2000,-60.079064
FULL,PD,7.3000,-60.073411
FULL,PD,7.4000,-60.068083
FULL,PD,7.5000,-60.063020
FULL,PD,7.6000,-60.058212
FULL,PD,7.7000,-60.053689
FULL,PD,7.8000,-60.049374
FULL,PD,7.9000,-60.045289
FULL,PD,8.0000,-60.041412
FULL,PD,8.1000,-60.037724
FULL,PD,8.2000,-60.034220
FULL,PD,8.3000,-60.030942
FULL,PD,8.4000,-60.027825
FULL,PD,8.5000,-60.024865
FULL,PD,8.6000,-60.022046
FULL,PD,8.7000,-60.019374
FULL,PD,8.8000,-60.016844
FULL,PD,8.9000,-60.014465
FULL,PD,9.0000,-60.012202
FULL,PD,9.1000,-60.010055
FULL,PD,9.2000,-60.008014
FULL,PD,9.3000,-60.006084
FULL,PD,9.4000,-60.004254
FULL,PD,9.5000,-60.002520
FULL,PD,9.6000,-60.000876
FULL,PD,9.7000,-59.999318
FULL,PD,9.8000,-59.997841
FULL,PD,9.9000,-59.996442
FULL,PD,10.0000,-59.995111
FULL,PD,10.1000,-59.993856
FULL,PD,10.2000,-59.992668
FULL,PD,10.3000,-59.991538
FULL,PD,10.4000,-59.990474
FULL,PD,10.5000,-59.989452
FULL,PD,10.6000,-59.988489
FULL,PD,10.7000,-59.987581
FULL,PD,10.8000,-59.986716
FULL,PD,10.9000,-59.985895
FULL,PD,11.0000,-59.985115
FULL,PD,11.1000,-59.984378
FULL,PD,11.2000,-59.983686
FULL,PD,11.3000,-59.983033
FULL,PD,11.4000,-59.982406
FULL,PD,11.5000,-59.981816
FULL,PD,11.6000,-59.981256
FULL,PD,11.7000,-59.980724
FULL,PD,11.8000,-59.980217
FULL,PD,11.9000,-59.979734
FULL,PD,12.0000,-59.979304
FULL,PD,12.1000,-59.978860
FULL,PD,12.2000,-59.978447
FULL,PD,12.3000,-59.978075
FULL,PD,12.4000,-59.977703
FULL,PD,12.5000,-59.977344
FULL,PD,12.6000,-59.977011
FULL,PD,12.7000,-59.976694
FULL,PD,12.8000,-59.976406
FULL,PD,12.9000,-59.976141
FULL,PD,13.0000,-59.975875
FULL,PD,13.1000,-59.975612
FULL,PD,13.2000,-59.975363
FULL,PD,13.3000,-59.975154
FULL,PD,13.4000,-59.974928
FULL,PD,13.5000,-59.974730
FULL,PD,13.6000,-59.974531
FULL,PD,13.7000,-59.974355
FULL,PD,13.8000,-59.974185
FULL,PD,13.9000,-59.974000
FULL,PD,14.0000,-59.973860
FULL,PD,14.1000,-59.973718
FULL,PD,14.2000,-59.973586
FULL,PD,14.3000,-59.973470
FULL,PD,14.4000,-59.973351
FULL,PD,14.5000,-59.973221
FULL,PD,14.6000,-59.973102
FULL,PD,14.7000,-59.973003
FULL,PD,14.8000,-59.972889
FULL,PD,14.9000,-59.972788
FULL,PD,15.0000,-59.972706
FULL,PD,15.1000,-59.972616
FULL,PD,15.2000,-59.972563
FULL,PD,15.3000,-59.972463
FULL,PD,15.4000,-59.972378
FULL,PD,15.5000,-59.972297
FULL,PD,15.6000,-59.972243
FULL,PD,15.7000,-59.972194
FULL,PD,15.8000,-59.972133
FULL,PD,15.9000,-59.972094
FULL,PD,16.0000,-59.972023
FULL,PD,16.1000,-59.971965
FULL,PD,16.2000,-59.971920
FULL,PD,16.3000,-59.971871
FULL,PD,16.4000,-59.971842
FULL,PD,16.5000,-59.971803
FULL,PD,16.6000,-59.971764
FULL,PD,16.7000,-59.971731
FULL,PD,16.8000,-59.971693
FULL,PD,16.9000,-59.971652
FULL,PD,17.0000,-59.971629
FULL,PD,17.1000,-59.971593
FULL,PD,17.2000,-59.971579
FULL,PD,17.3000,-59.971541
FULL,PD,17.4000,-59.971522
FULL,PD,17.5000,-59.971494
FULL,PD,17.6000,-59.971472
FULL,PD,17.7000,-59.971443
FULL,PD,17.8000,-59.971423
FULL,PD,17.9000,-59.971426
FULL,PD,18.0000,-59.971432
FULL,PD,18.1000,-59.971402
FULL,PD,18.2000,-59.971386
FULL,PD,18.3000,-59.971354
FULL,PD,18.4000,-59.971347
FULL,PD,18.5000,-59.971337
FULL,PD,18.6000,-59.971324
FULL,PD,18.7000,-59.971305
FULL,PD,18.8000,-59.971317
FULL,PD,18.9000,-59.971294
FULL,PD,19.0000,-59.971278
FULL,PD,19.1000,-59.971272
FULL,PD,19.2000,-59.971270
FULL,PD,19.3000,-59.971265
FULL,PD,19.4000,-59.971249
FULL,PD,19.5000,-59.971241
FULL,PD,19.6000,-59.971238
FULL,PD,19.7000,-59.971229
FULL,PD,19.8000,-59.971230
FULL,PD,19.9000,-59.971222
FULL,PD,20.0000,-59.971211
FULL,PD,20.1000,-59.971217
FULL,PD,20.2000,-59.971214
FULL,PD,20.3000,-59.971198
FULL,PD,20.4000,-59.971195
FULL,PD,20.5000,-59.971196
FULL,PD,20.6000,-59.971185
FULL,PD,20.7000,-59.971178
FULL,PD,20.8000,-59.971167
FULL,PD,20.9000,-59.971171
FULL,PD,21.0000,-59.971167
FULL,PD,21.1000,-59.971174
FULL,PD,21.2000,-59.971183
FULL,PD,21.3000,-59.971175
FULL,PD,21.4000,-59.971187
FULL,PD,21.5000,-59.971173
FULL,PD,21.6000,-59.971188
FULL,PD,21.7000,-59.971184
FULL,PD,21.8000,-59.971161
FULL,PD,21.9000,-59.971153
FULL,PD,22.0000,-59.971150
FULL,PD,22.1000,-59.970939
FULL,PD,22.2000,-59.970306
FULL,PD,22.3000,-59.969157
FULL,PD,22.4000,-59.967548
FULL,PD,22.5000,-59.965518
FULL,PD,22.6000,-59.963250
FULL,PD,22.7000,-59.960815
FULL,PD,22.8000,-59.958351
FULL,PD,22.9000,-59.955872
FULL,PD,23.0000,-59.953470
FULL,PD,23.1000,-59.951129
FULL,PD,23.2000,-59.948969
FULL,PD,23.3000,-59.946941
FULL,PD,23.4000,-59.945090
FULL,PD,23.5000,-59.943420
FULL,PD,23.6000,-59.941883
FULL,PD,23.7000,-59.940501
FULL,PD,23.8000,-59.939302
FULL,PD,23.9000,-59.938228
FULL,PD,24.0000,-59.937274
FULL,PD,24.1000,-59.936499
FULL,PD,24.2000,-59.935825
FULL,PD,24.3000,-59.935305
FULL,PD,24.4000,-59.934863
FULL,PD,24.5000,-59.934513
FULL,PD,24.6000,-59.934272
FULL,PD,24.7000,-59.934116
FULL,PD,24.8000,-59.934046
FULL,PD,24.9000,-59.934060
FULL,PD,25.0000,-59.934099
FULL,PD,25.1000,-59.934213
FULL,PD,25.2000,-59.934264
FULL,PD,25.3000,-59.934302
FULL,PD,25.4000,-59.934162
FULL,PD,25.5000,-59.933978
FULL,PD,25.6000,-59.933528
FULL,PD,25.7000,-59.932994
FULL,PD,25.8000,-59.932247
FULL,PD,25.9000,-59.931463
FULL,PD,26.0000,-59.930569
FULL,PD,26.1000,-59.929647
FULL,PD,26.2000,-59.928653
FULL,PD,26.3000,-59.927724
FULL,PD,26.4000,-59.926805
FULL,PD,26.5000,-59.925882
FULL,PD,26.6000,-59.924973
FULL,PD,26.7000,-59.924169
FULL,PD,26.8000,-59.923410
FULL,PD,26.9000,-59.922630
FULL,PD,27.0000,-59.922022
FULL,PD,27.1000,-59.921542
FULL,PD,27.2000,-59.921040
FULL,PD,27.3000,-59.920665
FULL,PD,27.4000,-59.920379
FULL,PD,27.5000,-59.920126
FULL,PD,27.6000,-59.919981
FULL,PD,27.7000,-59.919873
FULL,PD,27.8000,-59.919844
FULL,PD,27.9000,-59.919851
FULL,PD,28.0000,-59.919974
FULL,PD,28.1000,-59.920100
FULL,PD,28.2000,-59.920261
FULL,PD,28.3000,-59.920486
FULL,PD,28.4000,-59.920790
FULL,PD,28.5000,-59.921116
FULL,PD,28.6000,-59.921487
FULL,PD,28.7000,-59.921900
FULL,PD,28.8000,-59.922305
FULL,PD,28.9000,-59.922794
FULL,PD,29.0000,-59.923346
FULL,PD,29.1000,-59.923812
FULL,PD,29.2000,-59.924137
FULL,PD,29.3000,-59.924269
FULL,PD,29.4000,-59.924133
FULL,PD,29.5000,-59.923648
FULL,PD,29.6000,-59.922756
FULL,PD,29.7000,-59.921559
FULL,PD,29.8000,-59.920025
FULL,PD,29.9000,-59.918237
FULL,PD,30.0000,-59.916248
FULL,PD,30.1000,-59.914070
FULL,PD,30.2000,-59.911865
FULL,PD,30.3000,-59.909544
FULL,PD,30.4000,-59.907228
FULL,PD,30.5000,-59.904949
FULL,PD,30.6000,-59.902693
FULL,PD,30.7000,-59.900520
FULL,PD,30.8000,-59.898461
FULL,PD,30.9000,-59.896574
FULL,PD,31.0000,-59.894768
FULL,PD,31.1000,-59.893047
FULL,PD,31.2000,-59.891525
FULL,PD,31.3000,-59.889972
FULL,PD,31.4000,-59.888725
FULL,PD,31.5000,-59.887535
FULL,PD,31.6000,-59.886575
FULL,PD,31.7000,-59.885740
FULL,PD,31.8000,-59.884926
FULL,PD,31.9000,-59.884300
FULL,PD,32.0000,-59.883831
FULL,PD,32.1000,-59.883381
FULL,PD,32.2000,-59.883115
FULL,PD,32.3000,-59.882978
FULL,PD,32.4000,-59.882913
FULL,PD,32.5000,-59.883006
FULL,PD,32.6000,-59.883038
FULL,PD,32.7000,-59.883268
FULL,PD,32.8000,-59.883560
FULL,PD,32.9000,-59.883904
FULL,PD,33.0000,-59.884307
FULL,PD,33.1000,-59.884813
FULL,PD,33.2000,-59.885436
FULL,PD,33.3000,-59.886054
FULL,PD,33.4000,-59.886697
FULL,PD,33.5000,-59.887373
FULL,PD,33.6000,-59.888161
FULL,PD,33.7000,-59.888945
FULL,PD,33.8000,-59.889832
FULL,PD,33.9000,-59.890764
FULL,PD,34.0000,-59.891657
FULL,PD,34.1000,-59.892537
FULL,PD,34.2000,-59.893473
FULL,PD,34.3000,-59.894373
FULL,PD,34.4000,-59.895362
FULL,PD,34.5000,-59.896313
FULL,PD,34.6000,-59.897344
FULL,PD,34.7000,-59.898322
FULL,PD,34.8000,-59.899427
FULL,PD,34.9000,-59.900449
FULL,PD,35.0000,-59.901491
FULL,PD,35.1000,-59.902530
FULL,PD,35.2000,-59.903504
FULL,PD,35.3000,-59.904526
FULL,PD,35.4000,-59.905548
FULL,PD,35.5000,-59.906622
FULL,PD,35.6000,-59.907626
FULL,PD,35.7000,-59.908692
FULL,PD,35.8000,-59.909757
FULL,PD,35.9000,-59.910741
FULL,PD,36.0000,-59.911713
FULL,PD,36.1000,-59.912708
FULL,PD,36.2000,-59.913661
FULL,PD,36.3000,-59.914498
FULL,PD,36.4000,-59.915065
FULL,PD,36.5000,-59.915489
FULL,PD,36.6000,-59.915736
FULL,PD,36.7000,-59.915780
FULL,PD,36.8000,-59.915683
FULL,PD,36.9000,-59.915342
FULL,PD,37.0000,-59.915052
FULL,PD,37.1000,-59.913579
FULL,PD,37.2000,-59.910196
FULL,PD,37.3000,-59.904672
FULL,PD,37.4000,-59.897270
FULL,PD,37.5000,-59.888304
FULL,PD,37.6000,-59.878443
FULL,PD,37.7000,-59.868073
FULL,PD,37.8000,-59.857524
FULL,PD,37.9000,-59.847109
FULL,PD,38.0000,-59.837030
FULL,PD,38.1000,-59.826318
FULL,PD,38.2000,-59.814099
FULL,PD,38.3000,-59.800139
FULL,PD,38.4000,-59.784626
FULL,PD,38.5000,-59.767792
FULL,PD,38.6000,-59.750461
FULL,PD,38.7000,-59.733059
FULL,PD,38.8000,-59.716195
FULL,PD,38.9000,-59.699634
FULL,PD,39.0000,-59.684155
FULL,PD,39.1000,-59.669423
FULL,PD,39.2000,-59.655316
FULL,PD,39.3000,-59.641302
FULL,PD,39.4000,-59.627733
FULL,PD,39.5000,-59.614700
FULL,PD,39.6000,-59.601946
FULL,PD,39.7000,-59.589804
FULL,PD,39.8000,-59.578212
FULL,PD,39.9000,-59.567248
FULL,PD,40.0000,-59.557424
FULL,PD,40.1000,-59.547160
FULL,PD,40.2000,-59.535980
FULL,PD,40.3000,-59.523616
FULL,PD,40.4000,-59.510947
FULL,PD,40.5000,-59.498074
FULL,PD,40.6000,-59.485563
FULL,PD,40.7000,-59.473661
FULL,PD,40.8000,-59.462522
FULL,PD,40.9000,-59.452885
FULL,PD,41.0000,-59.443887
FULL,PD,41.1000,-59.436053
FULL,PD,41.2000,-59.429230
FULL,PD,41.3000,-59.422755
FULL,PD,41.4000,-59.417063
FULL,PD,41.5000,-59.411896
FULL,PD,41.6000,-59.407208
FULL,PD,41.7000,-59.403159
FULL,PD,41.8000,-59.399769
FULL,PD,41.9000,-59.396964
FULL,PD,42.0000,-59.395052
FULL,PD,42.1000,-59.393291
FULL,PD,42.2000,-59.391247
FULL,PD,42.3000,-59.388714
FULL,PD,42.4000,-59.385532
FULL,PD,42.5000,-59.381829
FULL,PD,42.6000,-59.377891
FULL,PD,42.7000,-59.373913
FULL,PD,42.8000,-59.370456
FULL,PD,42.9000,-59.366698
FULL,PD,43.0000,-59.363536
FULL,PD,43.1000,-59.360867
FULL,PD,43.2000,-59.358648
FULL,PD,43.3000,-59.355700
FULL,PD,43.4000,-59.352730
FULL,PD,43.5000,-59.349364
FULL,PD,43.6000,-59.346145
FULL,PD,43.7000,-59.342954
FULL,PD,43.8000,-59.340353
FULL,PD,43.9000,-59.337734
FULL,PD,44.0000,-59.335036
FULL,PD,44.1000,-59.333053
FULL,PD,44.2000,-59.330637
FULL,PD,44.3000,-59.327920
FULL,PD,44.4000,-59.325299
FULL,PD,44.5000,-59.323063
FULL,PD,44.6000,-59.320923
FULL,PD,44.7000,-59.319270
FULL,PD,44.8000,-59.318177
FULL,PD,44.9000,-59.317707
FULL,PD,45.0000,-59.317717
FULL,PD,45.1000,-59.318324
FULL,PD,45.2000,-59.319243
FULL,PD,45.3000,-59.320333
FULL,PD,45.4000,-59.322180
FULL,PD,45.5000,-59.324265
FULL,PD,45.6000,-59.326939
FULL,PD,45.7000,-59.329765
FULL,PD,45.8000,-59.332836
FULL,PD,45.9000,-59.336336
FULL,PD,46.0000,-59.340311
FULL,PD,46.1000,-59.344136
FULL,PD,46.2000,-59.348029
FULL,PD,46.3000,-59.351236
FULL,PD,46.4000,-59.354750
FULL,PD,46.5000,-59.357157
FULL,PD,46.6000,-59.359593
FULL,PD,46.7000,-59.361168
FULL,PD,46.8000,-59.362185
FULL,PD,46.9000,-59.363490
FULL,PD,47.0000,-59.364790
FULL,PD,47.1000,-59.365880
FULL,PD,47.2000,-59.367249
FULL,PD,47.3000,-59.369137
FULL,PD,47.4000,-59.370541
FULL,PD,47.5000,-59.371641
FULL,PD,47.6000,-59.373254
FULL,PD,47.7000,-59.374621
FULL,PD,47.8000,-59.376845
FULL,PD,47.9000,-59.378516
FULL,PD,48.0000,-59.380592
FULL,PD,48.1000,-59.382607
FULL,PD,48.2000,-59.384262
FULL,PD,48.3000,-59.384980
FULL,PD,48.4000,-59.384710
FULL,PD,48.5000,-59.383777
FULL,PD,48.6000,-59.382513
FULL,PD,48.7000,-59.380649
FULL,PD,48.8000,-59.378223
FULL,PD,48.9000,-59.376171
FULL,PD,49.0000,-59.373754
FULL,PD,49.1000,-59.371877
FULL,PD,49.2000,-59.370199
FULL,PD,49.3000,-59.368652
FULL,PD,49.4000,-59.367791
FULL,PD,49.5000,-59.366936
FULL,PD,49.6000,-59.366194
FULL,PD,49.7000,-59.366006
FULL,PD,49.8000,-59.365977
FULL,PD,49.9000,-59.366053
FULL,PD,50.0000,-59.366368
FULL,PD,50.1000,-59.366544
FULL,PD,50.2000,-59.366882
FULL,PD,50.3000,-59.366400
FULL,PD,50.4000,-59.366498
FULL,PD,50.5000,-59.365276
FULL,PD,50.6000,-59.363988
FULL,PD,50.7000,-59.362574
FULL,PD,50.8000,-59.360929
FULL,PD,50.9000,-59.359295
FULL,PD,51.0000,-59.357304
FULL,PD,51.1000,-59.355173
FULL,PD,51.2000,-59.351179
FULL,PD,51.3000,-59.345802
FULL,PD,51.4000,-59.338908
FULL,PD,51.5000,-59.330530
FULL,PD,51.6000,-59.321663
FULL,PD,51.7000,-59.312678
FULL,PD,51.8000,-59.303236
FULL,PD,51.9000,-59.293921
FULL,PD,52.0000,-59.284679
FULL,PD,52.1000,-59.276219
FULL,PD,52.2000,-59.268604
FULL,PD,52.3000,-59.261659
FULL,PD,52.4000,-59.256353
FULL,PD,52.5000,-59.251131
FULL,PD,52.6000,-59.246695
FULL,PD,52.7000,-59.243449
FULL,PD,52.8000,-59.241618
FULL,PD,52.9000,-59.240021
FULL,PD,53.0000,-59.239908
FULL,PD,53.1000,-59.239038
FULL,PD,53.2000,-59.237161
FULL,PD,53.3000,-59.234594
FULL,PD,53.4000,-59.232131
FULL,PD,53.5000,-59.229708
FULL,PD,53.6000,-59.227669
FULL,PD,53.7000,-59.226361
FULL,PD,53.8000,-59.225867
FULL,PD,53.9000,-59.226185
FULL,PD,54.0000,-59.227001
FULL,PD,54.1000,-59.228383
FULL,PD,54.2000,-59.230913
FULL,PD,54.3000,-59.233854
FULL,PD,54.4000,-59.237015
FULL,PD,54.5000,-59.240997
FULL,PD,54.6000,-59.245637
FULL,PD,54.7000,-59.251123
FULL,PD,54.8000,-59.255698
FULL,PD,54.9000,-59.261231
FULL,PD,55.0000,-59.267819
FULL,PD,55.1000,-59.264238
FULL,PD,55.2000,-59.249629
FULL,PD,55.3000,-59.224734
FULL,PD,55.4000,-59.193968
FULL,PD,55.5000,-59.160815
FULL,PD,55.6000,-59.125386
FULL,PD,55.7000,-59.090250
FULL,PD,55.8000,-59.057051
FULL,PD,55.9000,-59.025633
FULL,PD,56.0000,-58.996742
FULL,PD,56.1000,-58.969982
FULL,PD,56.2000,-58.946785
FULL,PD,56.3000,-58.926542
FULL,PD,56.4000,-58.908396
FULL,PD,56.5000,-58.892686
FULL,PD,56.6000,-58.879614
FULL,PD,56.7000,-58.867523
FULL,PD,56.8000,-58.858937
FULL,PD,56.9000,-58.851577
FULL,PD,57.0000,-58.845326
FULL,PD,57.1000,-58.839231
FULL,PD,57.2000,-58.831065
FULL,PD,57.3000,-58.820442
FULL,PD,57.4000,-58.807078
FULL,PD,57.5000,-58.794250
FULL,PD,57.6000,-58.780235
FULL,PD,57.7000,-58.766601
FULL,PD,57.8000,-58.753481
FULL,PD,57.9000,-58.741453
FULL,PD,58.0000,-58.730665
FULL,PD,58.1000,-58.721663
FULL,PD,58.2000,-58.714256
FULL,PD,58.3000,-58.707656
FULL,PD,58.4000,-58.703586
FULL,PD,58.5000,-58.701493
FULL,PD,58.6000,-58.700328
FULL,PD,58.7000,-58.700287
FULL,PD,58.8000,-58.702512
FULL,PD,58.9000,-58.704996
FULL,PD,59.0000,-58.709487
FULL,PD,59.1000,-58.713389
FULL,PD,59.2000,-58.716204
FULL,PD,59.3000,-58.717542
FULL,PD,59.4000,-58.716083
FULL,PD,59.5000,-58.713581
FULL,PD,59.6000,-58.711149
FULL,PD,59.7000,-58.708315
FULL,PD,59.8000,-58.705203
FULL,PD,59.9000,-58.703177
FULL,PD,60.0000,-58.702323
FULL,PD,60.1000,-58.701215
FULL,PD,60.2000,-58.701486
FULL,PD,60.3000,-58.702691
FULL,PD,60.4000,-58.705412
FULL,PD,60.5000,-58.708298
FULL,PD,60.6000,-58.713236
FULL,PD,60.7000,-58.719090
FULL,PD,60.8000,-58.725279
FULL,PD,60.9000,-58.732742
FULL,PD,61.0000,-58.741338
FULL,PD,61.1000,-58.749250
FULL,PD,61.2000,-58.757336
FULL,PD,61.3000,-58.764399
FULL,PD,61.4000,-58.771461
FULL,PD,61.5000,-58.778239
FULL,PD,61.6000,-58.784622
FULL,PD,61.7000,-58.791807
FULL,PD,61.8000,-58.799020
FULL,PD,61.9000,-58.807336
FULL,PD,62.0000,-58.815898
FULL,PD,62.1000,-58.822787
FULL,PD,62.2000,-58.826849
FULL,PD,62.3000,-58.828264
FULL,PD,62.4000,-58.828173
FULL,PD,62.5000,-58.826990
FULL,PD,62.6000,-58.826027
FULL,PD,62.7000,-58.825398
FULL,PD,62.8000,-58.824460
FULL,PD,62.9000,-58.824575
FULL,PD,63.0000,-58.824926
FULL,PD,63.1000,-58.825902
FULL,PD,63.2000,-58.828077
FULL,PD,63.3000,-58.828183
FULL,PD,63.4000,-58.828670
FULL,PD,63.5000,-58.830075
FULL,PD,63.6000,-58.830572
FULL,PD,63.7000,-58.832336
FULL,PD,63.8000,-58.834753
FULL,PD,63.9000,-58.837390
FULL,PD,64.0000,-58.841318
FULL,PD,64.1000,-58.843970
FULL,PD,64.2000,-58.846716
FULL,PD,64.3000,-58.849410
FULL,PD,64.4000,-58.852623
FULL,PD,64.5000,-58.855356
FULL,PD,64.6000,-58.858041
FULL,PD,64.7000,-58.862105
FULL,PD,64.8000,-58.866850
FULL,PD,64.9000,-58.871152
FULL,PD,65.0000,-58.877033
FULL,PD,65.1000,-58.882353
FULL,PD,65.2000,-58.887816
FULL,PD,65.3000,-58.892496
FULL,PD,65.4000,-58.895962
FULL,PD,65.5000,-58.898687
FULL,PD,65.6000,-58.901733
FULL,PD,65.7000,-58.906205
FULL,PD,65.8000,-58.909858
FULL,PD,65.9000,-58.913775
FULL,PD,66.0000,-58.917772
FULL,PD,66.1000,-58.922465
FULL,PD,66.2000,-58.927060
FULL,PD,66.3000,-58.932032
FULL,PD,66.4000,-58.936887
FULL,PD,66.5000,-58.941780
FULL,PD,66.6000,-58.946966
FULL,PD,66.7000,-58.952202
FULL,PD,66.8000,-58.957270
FULL,PD,66.9000,-58.963132
FULL,PD,67.0000,-58.969405
FULL,PD,67.1000,-58.973048
FULL,PD,67.2000,-58.974196
FULL,PD,67.3000,-58.971184
FULL,PD,67.4000,-58.965983
FULL,PD,67.5000,-58.959523
FULL,PD,67.6000,-58.951805
FULL,PD,67.7000,-58.944104
FULL,PD,67.8000,-58.936646
FULL,PD,67.9000,-58.929741
FULL,PD,68.0000,-58.923266
FULL,PD,68.1000,-58.914595
FULL,PD,68.2000,-58.903394
FULL,PD,68.3000,-58.889429
FULL,PD,68.4000,-58.874476
FULL,PD,68.5000,-58.859133
FULL,PD,68.6000,-58.843798
FULL,PD,68.7000,-58.829181
FULL,PD,68.8000,-58.815063
FULL,PD,68.9000,-58.802791
FULL,PD,69.0000,-58.791504
FULL,PD,69.1000,-58.781018
FULL,PD,69.2000,-58.768921
FULL,PD,69.3000,-58.755113
FULL,PD,69.4000,-58.740289
FULL,PD,69.5000,-58.725347
FULL,PD,69.6000,-58.710191
FULL,PD,69.7000,-58.695888
FULL,PD,69.8000,-58.682318
FULL,PD,69.9000,-58.670406
FULL,PD,70.0000,-58.659724
FULL,PD,70.1000,-58.646642
FULL,PD,70.2000,-58.631523
FULL,PD,70.3000,-58.615214
FULL,PD,70.4000,-58.599438
FULL,PD,70.5000,-58.581981
FULL,PD,70.6000,-58.564497
FULL,PD,70.7000,-58.547535
FULL,PD,70.8000,-58.533811
FULL,PD,70.9000,-58.520148
FULL,PD,71.0000,-58.509137
FULL,PD,71.1000,-58.500053
FULL,PD,71.2000,-58.492896
FULL,PD,71.3000,-58.488056
FULL,PD,71.4000,-58.482223
FULL,PD,71.5000,-58.479034
FULL,PD,71.6000,-58.476346
FULL,PD,71.7000,-58.474859
FULL,PD,71.8000,-58.476251
FULL,PD,71.9000,-58.477543
FULL,PD,72.0000,-58.480611
FULL,PD,72.1000,-58.481800
FULL,PD,72.2000,-58.480327
FULL,PD,72.3000,-58.477423
FULL,PD,72.4000,-58.471454
FULL,PD,72.5000,-58.466357
FULL,PD,72.6000,-58.460884
FULL,PD,72.7000,-58.457026
FULL,PD,72.8000,-58.453337
FULL,PD,72.9000,-58.449661
FULL,PD,73.0000,-58.448613
FULL,PD,73.1000,-58.447417
FULL,PD,73.2000,-58.446864
FULL,PD,73.3000,-58.445957
FULL,PD,73.4000,-58.446927
FULL,PD,73.5000,-58.447298
FULL,PD,73.6000,-58.449159
FULL,PD,73.7000,-58.453245
FULL,PD,73.8000,-58.457046
FULL,PD,73.9000,-58.462033
FULL,PD,74.0000,-58.468780
FULL,PD,74.1000,-58.472729
FULL,PD,74.2000,-58.473298
FULL,PD,74.3000,-58.473297
FULL,PD,74.4000,-58.471963
FULL,PD,74.5000,-58.469807
FULL,PD,74.6000,-58.467672
FULL,PD,74.7000,-58.466398
FULL,PD,74.8000,-58.463881
FULL,PD,74.9000,-58.462832
FULL,PD,75.0000,-58.462791
FULL,PD,75.1000,-58.461788
FULL,PD,75.2000,-58.459708
FULL,PD,75.3000,-58.455450
FULL,PD,75.4000,-58.449324
FULL,PD,75.5000,-58.440613
FULL,PD,75.6000,-58.431301
FULL,PD,75.7000,-58.420564
FULL,PD,75.8000,-58.409044
FULL,PD,75.9000,-58.398752
FULL,PD,76.0000,-58.388368
FULL,PD,76.1000,-58.376433
FULL,PD,76.2000,-58.358904
FULL,PD,76.3000,-58.337886
FULL,PD,76.4000,-58.312308
FULL,PD,76.5000,-58.287450
FULL,PD,76.6000,-58.262028
FULL,PD,76.7000,-58.237272
FULL,PD,76.8000,-58.213691
FULL,PD,76.9000,-58.192635
FULL,PD,77.0000,-58.172686
FULL,PD,77.1000,-58.155450
FULL,PD,77.2000,-58.137746
FULL,PD,77.3000,-58.119727
FULL,PD,77.4000,-58.102581
FULL,PD,77.5000,-58.085215
