model_variant,n_angles,n_trials,seconds_per_angle_trial,total_seconds,total_minutes
t0022_deterministic,12,10,3.800,456.000,7.600
t0024_stochastic_AR2_rho0.6,12,10,12.000,1440.000,24.000
