v_rest_mv,trial,direction_deg,spike_count,peak_mv,firing_rate_hz
-60.0,0,0,5,38.126,5.000000
-60.0,0,30,5,36.935,5.000000
-60.0,0,60,4,36.371,4.000000
-60.0,0,90,2,36.259,2.000000
-60.0,0,120,1,36.287,1.000000
-60.0,0,150,1,35.985,1.000000
-60.0,0,180,1,35.799,1.000000
-60.0,0,210,1,37.555,1.000000
-60.0,0,240,1,37.870,1.000000
-60.0,0,270,2,36.096,2.000000
-60.0,0,300,3,36.903,3.000000
-60.0,0,330,3,36.992,3.000000
