trial_seed,direction_label,direction_deg,exptype,flicker_var,stim_noise_var,b2gnmda_ns,peak_psp_mv,baseline_psp_mv,spike_count,ap_rate_hz,notes
1,PD,0,1,0.0000,0.0000,0.0000,13.4480,5.6056,0,0.0000,fig2_ap5_gnmda0
2,PD,0,1,0.0000,0.0000,0.0000,13.4876,5.8385,0,0.0000,fig2_ap5_gnmda0
3,PD,0,1,0.0000,0.0000,0.0000,13.4504,5.6198,0,0.0000,fig2_ap5_gnmda0
4,PD,0,1,0.0000,0.0000,0.0000,12.9019,5.5652,0,0.0000,fig2_ap5_gnmda0
1,ND,180,1,0.0000,0.0000,0.0000,10.7538,5.4275,0,0.0000,fig2_ap5_gnmda0
2,ND,180,1,0.0000,0.0000,0.0000,10.2374,5.4092,0,0.0000,fig2_ap5_gnmda0
3,ND,180,1,0.0000,0.0000,0.0000,10.8627,5.4336,0,0.0000,fig2_ap5_gnmda0
4,ND,180,1,0.0000,0.0000,0.0000,10.6847,5.3819,0,0.0000,fig2_ap5_gnmda0
