trial_seed,direction_label,direction_deg,exptype,flicker_var,stim_noise_var,b2gnmda_ns,peak_psp_mv,baseline_psp_mv,spike_count,ap_rate_hz,notes
1,PD,0,2,0.0000,0.0000,0.5000,23.1455,6.1259,0,0.0000,fig5_zeromg
2,PD,0,2,0.0000,0.0000,0.5000,22.1906,6.4211,0,0.0000,fig5_zeromg
3,PD,0,2,0.0000,0.0000,0.5000,21.6802,6.1615,0,0.0000,fig5_zeromg
1,ND,180,2,0.0000,0.0000,0.5000,18.0697,5.7270,0,0.0000,fig5_zeromg
2,ND,180,2,0.0000,0.0000,0.5000,18.5164,5.8403,0,0.0000,fig5_zeromg
3,ND,180,2,0.0000,0.0000,0.5000,18.3627,5.8258,0,0.0000,fig5_zeromg
