diameter_multiplier,direction_selectivity_index,dsi_vector_sum,peak_hz,null_hz,hwhm_deg
0.50,1.000000,0.579211,15.0000,0.0000,59.2308
0.75,1.000000,0.580302,15.0000,0.0000,66.2097
1.00,1.000000,0.583106,15.0000,0.0000,59.2308
1.25,1.000000,0.583241,14.0000,0.0000,119.6154
1.50,1.000000,0.589492,14.0000,0.0000,112.2727
1.75,1.000000,0.589864,13.0000,0.0000,110.7576
2.00,1.000000,0.585164,13.0000,0.0000,105.2083
