diameter_multiplier,peak_hz,null_hz,dsi_peak_null,dsi_vector_sum,hwhm_deg,reliability,preferred_dir_deg,mean_peak_mv
0.50,15.0000,0.0000,1.000000,0.579211,59.2308,1.000000,53.01,5.356
0.75,15.0000,0.0000,1.000000,0.580302,66.2097,0.999864,52.48,5.226
1.00,15.0000,0.0000,1.000000,0.583106,59.2308,1.000000,52.57,5.249
1.25,14.0000,0.0000,1.000000,0.583241,119.6154,1.000000,50.82,5.020
1.50,14.0000,0.0000,1.000000,0.589492,112.2727,0.999963,53.60,5.108
1.75,13.0000,0.0000,1.000000,0.589864,110.7576,0.999955,55.13,4.798
2.00,13.0000,0.0000,1.000000,0.585164,105.2083,1.000000,56.08,4.880
