channel,direction,g_seclamp_mean_ns,g_seclamp_sd_ns,n,paper_target_ns,t0047_summed_ns,t0047_per_syn_mean_ns,delta_paper_frac,delta_t0047_frac,verdict
ampa,ND,5.787483800279466,0.19372691810206025,4,3.5,10.77,0.03819148936170213,0.6535668000798474,0.4626291736045064,H2
ampa,PD,5.928314162973107,0.26655600593781015,4,3.5,10.92,0.03872340425531915,0.693804046563745,0.45711408763982536,H2
gaba,ND,48.04402991826429,1.7562855924667184,4,30.0,215.57,0.7644326241134751,0.6014676639421431,0.7771302596916811,H2
gaba,PD,47.467291547516055,1.9804986638415776,4,12.5,106.13,0.37634751773049646,2.7973833238012844,0.5527438844104772,H2
nmda,ND,13.71315227853879,0.18727487888521974,4,5.0,33.98,0.1204964539007092,1.7426304557077579,0.5964346003961509,H2
nmda,PD,13.889412339143774,0.38216295061256045,4,7.0,69.55,0.24663120567375885,0.984201762734825,0.8002960123775158,H2
