,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
NAV16_SOMA_GBAR,0.07712659935364237,0.3173176248162712,-0.057719487120368014,-0.2152791541202803,-0.34996696661639715,-0.09798352365588205,-0.19106961043545076,0.06581584423774622,-0.010407157011501881,-0.009648154356324731
NAV16_PRIMARY_GBAR,0.3679943905853504,-0.1896252155085139,0.3725546789519681,-0.18340017924109323,0.019653455601968548,0.05129009498323357,0.08229296134176493,-0.21289218302400867,0.08407696304158174,0.006781066602575414
NAV16_MID_GBAR,-0.37256849128322816,-0.10329387783912948,0.19706419577872933,0.26643057982321705,-0.0763412732262726,-0.09240359014584282,0.09544654972063153,-0.11120892321245507,0.20311114867747174,0.13785263507450307
NAV16_TERMINAL_GBAR,0.11425863608717082,-0.0949635090157017,-0.04167964146975272,-0.06751761103743503,0.22020100860163655,0.08176315239376467,0.006788103789121018,-0.0658294253133106,-0.35845051377653936,-0.13877383525015194
NAV16_AIS_GBAR,-0.05569105985908956,0.22387178937074786,0.062068327397553066,-0.09491790979193196,-0.030612732997229455,0.012106023741654233,0.07505182726218014,-0.2586376987627538,-0.0969423590794926,0.0585531946221403
KV3_SOMA_GBAR,-0.23375579296770277,-0.21095050981665991,-0.04092821132651115,0.05955015260390915,0.2833876582904346,-0.05002840934297372,0.03174133602589235,-0.1919993319087297,0.09426188692373261,-0.24515213003785497
KV3_PRIMARY_GBAR,-0.4657200122921009,-0.13739137751472486,0.10541156818589913,-0.04403261337935756,0.17341092391206023,0.013936149339511157,0.07484147732196189,-0.10240003427432161,-0.04517525733925376,-0.10273278524835185
KV3_MID_GBAR,-0.4201312561727371,0.10662914492332826,-0.1859040577414604,0.05891193010649768,0.0066126602085579585,-0.09605601705629573,-0.05429954839335546,0.12166571343544155,-0.058876753681096274,-0.06357528785262263
KV3_TERMINAL_GBAR,0.18762291986431698,-0.29154067716317106,-0.05964170883490613,-0.263971653045531,0.16244418944141506,-0.02612729501763131,-0.01810842174626544,-0.0656023069452145,0.1879660291141812,-0.09931674051553564
KV3_AIS_GBAR,-0.700756761749466,-0.042511486837844246,0.009475190945511322,0.02854368928420906,0.051845821196953065,-0.04114210020092209,0.09370362071915657,0.06742674061561621,0.1280963064010753,-0.04041392233982865
