seed,mean_disp_pc12,mean_disp_68d,p95_disp_pc12,p95_disp_68d,n_cohort,n_gen0
44,4.867366226875678,9.335971462976623,8.710354543626142,9.940176833611844,1065,96
77,1.4868362078393476,9.14204911276203,2.9575719548841803,9.988327777310529,654,96
7755,5.742904138185487,8.831992490778646,8.10993872523624,9.37705130558924,1686,96
9354,1.5903642883305686,8.88196072121012,2.7641087818046963,9.523395263375544,1026,96
