partition,k,nmi,chi2,p_value,dof,n_expected_below_5,n_total_cells
electrophys_k=4,4,0.5624247071076491,6904.939915993895,0.0,9,0,16
morphology_k=5,5,0.31302146587376484,4316.286745323019,0.0,12,0,20
