cluster_id,source_task,seed,generation,individual_idx,dsi_vector_sum,pd_rate_hz,pc1_combined,pc2_combined
0,t0106_long_pdnd_nsga2_300gen,44,1,0,6.123233995736766e-17,23.571428571428573,-1.327697472678266,-0.9685131413962593
0,t0106_long_pdnd_nsga2_300gen,44,1,1,0.024390243902439,4.761904761904763,-1.3807536911252696,-2.7271621570684177
1,t0106_long_pdnd_nsga2_300gen,44,1,2,0.0068965517241379075,17.142857142857142,-2.766781965888859,1.980801652121065
0,t0106_long_pdnd_nsga2_300gen,44,1,3,6.123233995736766e-17,17.857142857142858,-3.3493571428186093,-0.4001633182088396
0,t0106_long_pdnd_nsga2_300gen,44,1,4,6.123233995736766e-17,12.857142857142858,-1.3723813115521963,0.07744175025659289
3,t0106_long_pdnd_nsga2_300gen,44,1,5,6.123233995736766e-17,10.0,-2.6356612434864197,-0.595521146393469
0,t0106_long_pdnd_nsga2_300gen,44,1,6,6.123233995736766e-17,10.0,-4.031243954300754,-2.4894583510757546
0,t0106_long_pdnd_nsga2_300gen,44,1,7,6.123233995736766e-17,7.857142857142858,-0.12463905671836696,-1.1115887479973035
0,t0106_long_pdnd_nsga2_300gen,44,1,8,6.123233995736766e-17,6.428571428571429,-0.6891436494920025,-2.771211795747699
0,t0106_long_pdnd_nsga2_300gen,44,1,9,6.123233995736766e-17,4.285714285714286,-2.876834294414893,-3.014637465170422
0,t0106_long_pdnd_nsga2_300gen,44,1,10,6.123233995736766e-17,3.5714285714285716,-1.371381577276209,-0.306486123096868
0,t0106_long_pdnd_nsga2_300gen,44,1,11,0.0,3.0952380952380953,-1.9139355497600203,-1.195808696135803
0,t0106_long_pdnd_nsga2_300gen,44,1,12,0.0,2.857142857142857,-1.404021907254903,-2.110031979862096
0,t0106_long_pdnd_nsga2_300gen,44,1,13,0.0,2.857142857142857,-2.6182510081978134,-2.792638380252238
0,t0106_long_pdnd_nsga2_300gen,44,1,14,0.0,1.4285714285714286,-3.490693128376684,1.7671050702241196
0,t0106_long_pdnd_nsga2_300gen,44,1,15,0.0,0.9523809523809524,-3.5826089493012163,-0.381433152741917
0,t0106_long_pdnd_nsga2_300gen,44,1,16,0.0,0.7142857142857143,-1.3152071098027092,-2.7236874502671644
0,t0106_long_pdnd_nsga2_300gen,44,1,17,0.0,0.7142857142857143,-2.9635185630896728,-2.861682517663119
0,t0106_long_pdnd_nsga2_300gen,44,1,18,0.0,0.7142857142857143,-2.220695541136773,-2.734697774026084
0,t0106_long_pdnd_nsga2_300gen,44,1,19,0.0,0.7142857142857143,-2.9658789864136264,-2.9759727109565866
0,t0106_long_pdnd_nsga2_300gen,44,1,20,0.0,0.7142857142857143,-2.7711548842737423,-0.9396131357773857
0,t0106_long_pdnd_nsga2_300gen,44,1,21,0.0,0.7142857142857143,-3.2865842507020413,-2.3093157197162157
0,t0106_long_pdnd_nsga2_300gen,44,1,22,0.0,0.7142857142857143,-1.1711229521652105,-3.452203149587139
0,t0106_long_pdnd_nsga2_300gen,44,1,23,0.0,0.7142857142857143,-1.147397171561462,-2.257247864825796
0,t0106_long_pdnd_nsga2_300gen,44,1,24,0.0,0.7142857142857143,-1.233998620384051,-1.7288004483154435
0,t0106_long_pdnd_nsga2_300gen,44,1,25,0.0,0.7142857142857143,-1.728716792811476,-1.5246106997302833
0,t0106_long_pdnd_nsga2_300gen,44,1,26,0.0,0.7142857142857143,-2.337843663339016,-2.218381671510745
0,t0106_long_pdnd_nsga2_300gen,44,1,27,0.0,0.7142857142857143,-0.7183410766085471,-1.9629225481112538
0,t0106_long_pdnd_nsga2_300gen,44,1,28,0.0,0.7142857142857143,-3.6242441211583634,-3.3543448544040313
0,t0106_long_pdnd_nsga2_300gen,44,1,29,0.0,0.7142857142857143,-4.076131974642206,-1.6614458072495673
0,t0106_long_pdnd_nsga2_300gen,44,1,30,0.0,0.7142857142857143,-1.6119393127977673,-0.963440770246646
0,t0106_long_pdnd_nsga2_300gen,44,1,31,0.0,0.7142857142857143,-0.19579574645057132,-2.493698049114381
3,t0106_long_pdnd_nsga2_300gen,44,1,32,0.0,0.7142857142857143,-4.154156847114139,-1.5626101109985164
0,t0106_long_pdnd_nsga2_300gen,44,1,33,0.0,0.7142857142857143,-1.9960275280294841,-2.69347887208866
0,t0106_long_pdnd_nsga2_300gen,44,1,34,0.0,0.7142857142857143,-1.6850588212442945,-2.1714105483150825
0,t0106_long_pdnd_nsga2_300gen,44,1,35,0.0,0.7142857142857143,-2.006872903778831,-1.7416502357394654
0,t0106_long_pdnd_nsga2_300gen,44,1,36,0.0,0.7142857142857143,-1.6459270591417239,-3.0634464749544743
0,t0106_long_pdnd_nsga2_300gen,44,1,37,0.0,0.7142857142857143,-2.726413919825617,-0.2602422045607593
0,t0106_long_pdnd_nsga2_300gen,44,1,38,0.0,0.7142857142857143,-3.564815328532877,-1.4773992389513522
0,t0106_long_pdnd_nsga2_300gen,44,1,39,0.0,0.7142857142857143,-4.36871782625614,-1.4849851778051424
0,t0106_long_pdnd_nsga2_300gen,44,1,40,0.0,0.7142857142857143,-2.055844879438281,-2.347151945008511
0,t0106_long_pdnd_nsga2_300gen,44,1,41,0.0,0.7142857142857143,-2.3654175582616856,-2.2827689620558687
0,t0106_long_pdnd_nsga2_300gen,44,1,42,0.0,0.7142857142857143,-1.4458730132349984,-3.2260869908530476
0,t0106_long_pdnd_nsga2_300gen,44,1,43,0.0,0.7142857142857143,-0.25811798606640696,-2.5630656739938953
