factor_id,var_explained_pct,r_dsi,p_dsi,r_pd,p_pd,joint_factor_flag
F1,12.606275034385181,0.4207497684707528,1.1795914239366403e-189,0.3516859917883267,3.5907442183095095e-129,True
F2,3.685663465558686,0.03246479315000263,0.030695076465555735,0.3141714334528322,4.3150990491094935e-102,False
F3,3.4763577113329247,-0.003990026549120086,0.7906048546876251,-0.1718183529872608,1.0490572975894388e-30,False
F4,2.588104155326101,0.26194346068339924,1.9796067852832835e-70,-0.23806371437758414,3.878653278038484e-58,False
F5,4.250164902324243,-0.2620419027026113,1.7504583399560505e-70,-0.55387261076368,0.0,False
F6,1.5345454513474202,-0.031232666086750162,0.037622256143587544,-0.09947771014971163,3.214217602469735e-11,False
F7,1.9585894608509595,-0.018766035874766218,0.21168961279833978,-0.0801444631387203,9.194390157793614e-08,False
F8,1.434402143453793,0.14510470812457515,2.7958063273409275e-22,-0.005352945683237401,0.7216721456641747,False
F9,1.082842410426885,0.07655590053428195,3.3599008230047203e-07,0.04003958627385966,0.007685512774193345,False
F10,2.2795480930690224,0.27668319938796154,1.095989038701086e-78,0.24400611672824177,4.4980393211326824e-61,False
