condition_id,angle_deg,trial_seed,firing_rate_hz
bk_med,210.0,1,12.0
bk_med,210.0,2,8.0
bk_med,210.0,3,12.0
bk_med,210.0,4,10.0
bk_med,210.0,5,8.0
bk_med,240.0,1,16.0
bk_med,240.0,2,16.0
bk_med,240.0,3,13.0
bk_med,240.0,4,15.0
bk_med,240.0,5,15.0
bk_med,270.0,1,17.0
bk_med,270.0,2,13.0
bk_med,270.0,3,18.0
bk_med,270.0,4,14.0
bk_med,270.0,5,16.0
bk_med,300.0,1,15.0
bk_med,300.0,2,13.0
bk_med,300.0,3,13.0
bk_med,300.0,4,14.0
bk_med,300.0,5,15.0
bk_med,330.0,1,17.0
bk_med,330.0,2,14.0
bk_med,330.0,3,11.0
bk_med,330.0,4,14.0
bk_med,330.0,5,15.0
kv3_high,0.0,1,19.0
kv3_high,0.0,2,14.0
kv3_high,0.0,3,16.0
kv3_high,0.0,4,15.0
kv3_high,0.0,5,21.0
kv3_high,30.0,1,14.0
kv3_high,30.0,2,15.0
kv3_high,30.0,3,16.0
kv3_high,30.0,4,17.0
kv3_high,30.0,5,15.0
kv3_high,60.0,1,10.0
kv3_high,60.0,2,8.0
kv3_high,60.0,3,9.0
kv3_high,60.0,4,14.0
kv3_high,60.0,5,12.0
kv3_high,90.0,1,12.0
kv3_high,90.0,2,8.0
kv3_high,90.0,3,10.0
kv3_high,90.0,4,10.0
kv3_high,90.0,5,12.0
kv3_high,120.0,1,11.0
kv3_high,120.0,2,8.0
kv3_high,120.0,3,10.0
kv3_high,120.0,4,10.0
kv3_high,120.0,5,12.0
kv3_high,150.0,1,11.0
kv3_high,150.0,2,8.0
kv3_high,150.0,3,10.0
kv3_high,150.0,4,10.0
kv3_high,150.0,5,12.0
kv3_high,180.0,1,11.0
kv3_high,180.0,2,8.0
kv3_high,180.0,3,10.0
kv3_high,180.0,4,10.0
kv3_high,180.0,5,12.0
kv3_high,210.0,1,14.0
kv3_high,210.0,2,8.0
kv3_high,210.0,3,14.0
