condition_id,channel_kind,density_label,density_ms_cm2,angle_deg,trial_seed,trial_mode,n_spikes,firing_rate_hz,peak_vm_mv,baseline_vm_mv,is_unstable
nav16_low,Nav1.6,low,10.0,240.0,1,IPSP_PASSIVE,0,0.0,-59.99951470667326,-60.09683713601164,False
nav16_low,Nav1.6,low,10.0,270.0,1,IPSP_PASSIVE,0,0.0,-59.999514676693714,-60.09683243244791,False
nav16_low,Nav1.6,low,10.0,300.0,1,IPSP_PASSIVE,0,0.0,-59.999514676693714,-60.0968299738944,False
nav16_low,Nav1.6,low,10.0,330.0,1,IPSP_PASSIVE,0,0.0,-59.999514676693714,-60.09682961141055,False
nav16_med,Nav1.6,med,30.0,0.0,1,EPSP_PASSIVE,0,0.0,-29.539234348839813,-58.298149471784164,False
nav16_med,Nav1.6,med,30.0,30.0,1,EPSP_PASSIVE,0,0.0,-29.037364753857464,-45.52961317539531,False
nav16_med,Nav1.6,med,30.0,60.0,1,EPSP_PASSIVE,0,0.0,-28.901420405828876,-39.34646202095521,False
nav16_med,Nav1.6,med,30.0,90.0,1,EPSP_PASSIVE,0,0.0,-29.298937099210015,-38.94157856257779,False
nav16_med,Nav1.6,med,30.0,120.0,1,EPSP_PASSIVE,0,0.0,-29.298937099210015,-38.94157856257779,False
nav16_med,Nav1.6,med,30.0,150.0,1,EPSP_PASSIVE,0,0.0,-29.298937099210015,-38.94157856257779,False
nav16_med,Nav1.6,med,30.0,180.0,1,EPSP_PASSIVE,0,0.0,-29.298937099210015,-38.94157856257779,False
nav16_med,Nav1.6,med,30.0,210.0,1,EPSP_PASSIVE,0,0.0,-28.753075739612296,-40.660024801319025,False
nav16_med,Nav1.6,med,30.0,240.0,1,EPSP_PASSIVE,0,0.0,-29.4212083918515,-53.396538404997465,False
nav16_med,Nav1.6,med,30.0,270.0,1,EPSP_PASSIVE,0,0.0,-29.305036683845806,-59.30460066756192,False
nav16_med,Nav1.6,med,30.0,300.0,1,EPSP_PASSIVE,0,0.0,-29.299275125971352,-59.598607466412425,False
nav16_med,Nav1.6,med,30.0,330.0,1,EPSP_PASSIVE,0,0.0,-29.570276076019855,-59.58621393101094,False
nav16_med,Nav1.6,med,30.0,0.0,1,IPSP_PASSIVE,0,0.0,-59.9369440653101,-60.04137338243673,False
nav16_med,Nav1.6,med,30.0,30.0,1,IPSP_PASSIVE,0,0.0,-59.93697306937203,-60.0412790249404,False
nav16_med,Nav1.6,med,30.0,60.0,1,IPSP_PASSIVE,0,0.0,-59.93696909786588,-60.04134182653085,False
nav16_med,Nav1.6,med,30.0,90.0,1,IPSP_PASSIVE,0,0.0,-59.936947779513964,-60.04129084628756,False
nav16_med,Nav1.6,med,30.0,120.0,1,IPSP_PASSIVE,0,0.0,-59.936947779513964,-60.04129084628756,False
nav16_med,Nav1.6,med,30.0,150.0,1,IPSP_PASSIVE,0,0.0,-59.936947779513964,-60.04129084628756,False
nav16_med,Nav1.6,med,30.0,180.0,1,IPSP_PASSIVE,0,0.0,-59.936947779513964,-60.04129084628756,False
nav16_med,Nav1.6,med,30.0,210.0,1,IPSP_PASSIVE,0,0.0,-59.93696100707892,-60.0412571917517,False
nav16_med,Nav1.6,med,30.0,240.0,1,IPSP_PASSIVE,0,0.0,-59.936993716434564,-60.04127321704116,False
nav16_med,Nav1.6,med,30.0,270.0,1,IPSP_PASSIVE,0,0.0,-59.9369440653101,-60.04132131788026,False
nav16_med,Nav1.6,med,30.0,300.0,1,IPSP_PASSIVE,0,0.0,-59.9369440653101,-60.04137991785035,False
nav16_med,Nav1.6,med,30.0,330.0,1,IPSP_PASSIVE,0,0.0,-59.9369440653101,-60.041387821048865,False
nav16_high,Nav1.6,high,90.0,0.0,1,EPSP_PASSIVE,0,0.0,-15.374910434275721,-57.83532804057855,False
nav16_high,Nav1.6,high,90.0,30.0,1,EPSP_PASSIVE,0,0.0,-9.075437947164062,-43.38467869979931,False
nav16_high,Nav1.6,high,90.0,60.0,1,EPSP_PASSIVE,0,0.0,-0.6170667895483649,-37.51680248302964,False
nav16_high,Nav1.6,high,90.0,90.0,1,EPSP_PASSIVE,0,0.0,0.4316258416529055,-37.175182403436715,False
nav16_high,Nav1.6,high,90.0,120.0,1,EPSP_PASSIVE,0,0.0,0.4316258416529055,-37.175182403436715,False
nav16_high,Nav1.6,high,90.0,150.0,1,EPSP_PASSIVE,0,0.0,0.4316258416529055,-37.175182403436715,False
nav16_high,Nav1.6,high,90.0,180.0,1,EPSP_PASSIVE,0,0.0,0.4316258416529055,-37.175182403436715,False
nav16_high,Nav1.6,high,90.0,210.0,1,EPSP_PASSIVE,0,0.0,-1.5801865885484474,-38.65435305601555,False
nav16_high,Nav1.6,high,90.0,240.0,1,EPSP_PASSIVE,0,0.0,-13.246371570701445,-51.489889491646494,False
nav16_high,Nav1.6,high,90.0,270.0,1,EPSP_PASSIVE,0,0.0,-13.947597882638943,-59.05279226948853,False
nav16_high,Nav1.6,high,90.0,300.0,1,EPSP_PASSIVE,0,0.0,-14.187687886043381,-59.387651284319645,False
nav16_high,Nav1.6,high,90.0,330.0,1,EPSP_PASSIVE,0,0.0,-8.83714598556443,-59.37401859307853,False
nav16_high,Nav1.6,high,90.0,0.0,1,IPSP_PASSIVE,0,0.0,-59.72377573904262,-59.86265047536141,False
nav16_high,Nav1.6,high,90.0,30.0,1,IPSP_PASSIVE,0,0.0,-59.7235768103041,-59.86224318798578,False
nav16_high,Nav1.6,high,90.0,60.0,1,IPSP_PASSIVE,0,0.0,-59.72370074904445,-59.86253342456232,False
nav16_high,Nav1.6,high,90.0,90.0,1,IPSP_PASSIVE,0,0.0,-59.72359128617195,-59.86229191486636,False
nav16_high,Nav1.6,high,90.0,120.0,1,IPSP_PASSIVE,0,0.0,-59.72359128617195,-59.86229191486636,False
nav16_high,Nav1.6,high,90.0,150.0,1,IPSP_PASSIVE,0,0.0,-59.72359128617195,-59.86229191486636,False
nav16_high,Nav1.6,high,90.0,180.0,1,IPSP_PASSIVE,0,0.0,-59.72359128617195,-59.86229191486636,False
nav16_high,Nav1.6,high,90.0,210.0,1,IPSP_PASSIVE,0,0.0,-59.723651474727056,-59.86213624208602,False
nav16_high,Nav1.6,high,90.0,240.0,1,IPSP_PASSIVE,0,0.0,-59.72367025633772,-59.862181673748964,False
nav16_high,Nav1.6,high,90.0,270.0,1,IPSP_PASSIVE,0,0.0,-59.72377573904262,-59.86241199818799,False
nav16_high,Nav1.6,high,90.0,300.0,1,IPSP_PASSIVE,0,0.0,-59.72377573904262,-59.862680552982525,False
nav16_high,Nav1.6,high,90.0,330.0,1,IPSP_PASSIVE,0,0.0,-59.72377573904262,-59.86271680076226,False
nap_low,NaP,low,0.3,0.0,1,EPSP_PASSIVE,0,0.0,-29.09152629718289,-57.65242391288112,False
nap_low,NaP,low,0.3,30.0,1,EPSP_PASSIVE,0,0.0,-28.599665370659924,-45.12929258873974,False
nap_low,NaP,low,0.3,60.0,1,EPSP_PASSIVE,0,0.0,-28.47029623093456,-39.122443540837175,False
nap_low,NaP,low,0.3,90.0,1,EPSP_PASSIVE,0,0.0,-28.858600380094277,-38.784434594647685,False
nap_low,NaP,low,0.3,120.0,1,EPSP_PASSIVE,0,0.0,-28.858600380094277,-38.784434594647685,False
nap_low,NaP,low,0.3,150.0,1,EPSP_PASSIVE,0,0.0,-28.858600380094277,-38.784434594647685,False
nap_low,NaP,low,0.3,180.0,1,EPSP_PASSIVE,0,0.0,-28.858600380094277,-38.784434594647685,False
nap_low,NaP,low,0.3,210.0,1,EPSP_PASSIVE,0,0.0,-28.327937151875524,-40.374092224591635,False
nap_low,NaP,low,0.3,240.0,1,EPSP_PASSIVE,0,0.0,-28.989844279459174,-52.848402225215885,False
nap_low,NaP,low,0.3,270.0,1,EPSP_PASSIVE,0,0.0,-28.882446336819044,-58.74386437497941,False
nap_low,NaP,low,0.3,300.0,1,EPSP_PASSIVE,0,0.0,-28.859417660519764,-59.058853629879664,False
nap_low,NaP,low,0.3,330.0,1,EPSP_PASSIVE,0,0.0,-29.123981546539092,-59.0461061485284,False
nap_low,NaP,low,0.3,0.0,1,IPSP_PASSIVE,0,0.0,-59.419480895016946,-59.53880317473098,False
nap_low,NaP,low,0.3,30.0,1,IPSP_PASSIVE,0,0.0,-59.4188782106328,-59.537775139833585,False
nap_low,NaP,low,0.3,60.0,1,IPSP_PASSIVE,0,0.0,-59.419171068751155,-59.53851914326859,False
nap_low,NaP,low,0.3,90.0,1,IPSP_PASSIVE,0,0.0,-59.4190524282209,-59.537898788311765,False
nap_low,NaP,low,0.3,120.0,1,IPSP_PASSIVE,0,0.0,-59.4190524282209,-59.537898788311765,False
nap_low,NaP,low,0.3,150.0,1,IPSP_PASSIVE,0,0.0,-59.4190524282209,-59.537898788311765,False
nap_low,NaP,low,0.3,180.0,1,IPSP_PASSIVE,0,0.0,-59.4190524282209,-59.537898788311765,False
nap_low,NaP,low,0.3,210.0,1,IPSP_PASSIVE,0,0.0,-59.41864953535514,-59.53750495749778,False
nap_low,NaP,low,0.3,240.0,1,IPSP_PASSIVE,0,0.0,-59.419343237112784,-59.5376010444738,False
nap_low,NaP,low,0.3,270.0,1,IPSP_PASSIVE,0,0.0,-59.41932567447726,-59.538187227410575,False
nap_low,NaP,low,0.3,300.0,1,IPSP_PASSIVE,0,0.0,-59.41932567447726,-59.53887654229455,False
nap_low,NaP,low,0.3,330.0,1,IPSP_PASSIVE,0,0.0,-59.41932567447726,-59.538970896550914,False
nap_med,NaP,med,0.8,0.0,1,EPSP_PASSIVE,0,0.0,-27.894306633809116,-55.51722798675736,False
nap_med,NaP,med,0.8,30.0,1,EPSP_PASSIVE,0,0.0,-27.44944940095507,-42.38849931229051,False
nap_med,NaP,med,0.8,60.0,1,EPSP_PASSIVE,0,0.0,-27.324460665778943,-36.81992790177197,False
nap_med,NaP,med,0.8,90.0,1,EPSP_PASSIVE,0,0.0,-27.674616248310166,-36.5623579271829,False
nap_med,NaP,med,0.8,120.0,1,EPSP_PASSIVE,0,0.0,-27.674616248310166,-36.5623579271829,False
nap_med,NaP,med,0.8,150.0,1,EPSP_PASSIVE,0,0.0,-27.674616248310166,-36.5623579271829,False
nap_med,NaP,med,0.8,180.0,1,EPSP_PASSIVE,0,0.0,-27.674616248310166,-36.5623579271829,False
nap_med,NaP,med,0.8,210.0,1,EPSP_PASSIVE,0,0.0,-27.209596116137675,-37.900086202522225,False
nap_med,NaP,med,0.8,240.0,1,EPSP_PASSIVE,0,0.0,-27.78377611340702,-49.90394984606566,False
nap_med,NaP,med,0.8,270.0,1,EPSP_PASSIVE,0,0.0,-27.71538439501025,-57.098234075830646,False
nap_med,NaP,med,0.8,300.0,1,EPSP_PASSIVE,0,0.0,-27.68373278597448,-57.53642710493633,False
nap_med,NaP,med,0.8,330.0,1,EPSP_PASSIVE,0,0.0,-27.90942067302681,-57.52128133414933,False
nap_med,NaP,med,0.8,0.0,1,IPSP_PASSIVE,0,0.0,-57.98504560585793,-58.181190148615535,False
nap_med,NaP,med,0.8,30.0,1,IPSP_PASSIVE,0,0.0,-57.98283933922859,-58.17663338399229,False
nap_med,NaP,med,0.8,60.0,1,IPSP_PASSIVE,0,0.0,-57.983830034193595,-58.18002867646843,False
nap_med,NaP,med,0.8,90.0,1,IPSP_PASSIVE,0,0.0,-57.98327379289903,-58.17715644729792,False
nap_med,NaP,med,0.8,120.0,1,IPSP_PASSIVE,0,0.0,-57.98327379289903,-58.17715644729792,False
nap_med,NaP,med,0.8,150.0,1,IPSP_PASSIVE,0,0.0,-57.98327379289903,-58.17715644729792,False
nap_med,NaP,med,0.8,180.0,1,IPSP_PASSIVE,0,0.0,-57.98327379289903,-58.17715644729792,False
nap_med,NaP,med,0.8,210.0,1,IPSP_PASSIVE,0,0.0,-57.982047492113914,-58.175544620051284,False
nap_med,NaP,med,0.8,240.0,1,IPSP_PASSIVE,0,0.0,-57.98418945783193,-58.175796553168595,False
nap_med,NaP,med,0.8,270.0,1,IPSP_PASSIVE,0,0.0,-57.985116477130106,-58.178360355223596,False
nap_med,NaP,med,0.8,300.0,1,IPSP_PASSIVE,0,0.0,-57.985116477130106,-58.18147422029428,False
nap_med,NaP,med,0.8,330.0,1,IPSP_PASSIVE,0,0.0,-57.985116477130106,-58.181913992045324,False
nap_high,NaP,high,2.4,0.0,1,EPSP_PASSIVE,0,0.0,-24.81733989511403,-38.283366348095164,False
nap_high,NaP,high,2.4,30.0,1,EPSP_PASSIVE,0,0.0,-24.467918062896363,-33.27477960447598,False
nap_high,NaP,high,2.4,60.0,1,EPSP_PASSIVE,0,0.0,-24.356788437923985,-30.447421877934097,False
nap_high,NaP,high,2.4,90.0,1,EPSP_PASSIVE,0,0.0,-24.620099928615872,-30.325395979485233,False
nap_high,NaP,high,2.4,120.0,1,EPSP_PASSIVE,0,0.0,-24.620099928615872,-30.325395979485233,False
nap_high,NaP,high,2.4,150.0,1,EPSP_PASSIVE,0,0.0,-24.620099928615872,-30.325395979485233,False
nap_high,NaP,high,2.4,180.0,1,EPSP_PASSIVE,0,0.0,-24.620099928615872,-30.325395979485233,False
nap_high,NaP,high,2.4,210.0,1,EPSP_PASSIVE,0,0.0,-24.2854145232987,-31.052355912538935,False
nap_high,NaP,high,2.4,240.0,1,EPSP_PASSIVE,0,0.0,-24.71028431079373,-36.370861216539744,False
nap_high,NaP,high,2.4,270.0,1,EPSP_PASSIVE,0,0.0,-24.713040859123563,-38.76893050638969,False
nap_high,NaP,high,2.4,300.0,1,EPSP_PASSIVE,0,0.0,-24.657551750590216,-38.92463108591903,False
nap_high,NaP,high,2.4,330.0,1,EPSP_PASSIVE,0,0.0,-24.80593813693657,-38.91442161921821,False
nap_high,NaP,high,2.4,0.0,1,IPSP_PASSIVE,0,0.0,-37.182470919075485,-39.234684673206786,False
nap_high,NaP,high,2.4,30.0,1,IPSP_PASSIVE,0,0.0,-37.172524818078934,-39.2144278429092,False
nap_high,NaP,high,2.4,60.0,1,IPSP_PASSIVE,0,0.0,-37.17892692548472,-39.22877800137037,False
nap_high,NaP,high,2.4,90.0,1,IPSP_PASSIVE,0,0.0,-37.169102451687706,-39.21705912997433,False
nap_high,NaP,high,2.4,120.0,1,IPSP_PASSIVE,0,0.0,-37.169102451687706,-39.21705912997433,False
nap_high,NaP,high,2.4,150.0,1,IPSP_PASSIVE,0,0.0,-37.169102451687706,-39.21705912997433,False
nap_high,NaP,high,2.4,180.0,1,IPSP_PASSIVE,0,0.0,-37.169102451687706,-39.21705912997433,False
nap_high,NaP,high,2.4,210.0,1,IPSP_PASSIVE,0,0.0,-37.170988927374594,-39.20800426299812,False
nap_high,NaP,high,2.4,240.0,1,IPSP_PASSIVE,0,0.0,-37.17713734098916,-39.21078028821588,False
nap_high,NaP,high,2.4,270.0,1,IPSP_PASSIVE,0,0.0,-37.182470919075485,-39.22325884041219,False
nap_high,NaP,high,2.4,300.0,1,IPSP_PASSIVE,0,0.0,-37.182470919075485,-39.236583954181995,False
nap_high,NaP,high,2.4,330.0,1,IPSP_PASSIVE,0,0.0,-37.182470919075485,-39.23834294770284,False
nar_low,NaR,low,3.0,0.0,1,EPSP_PASSIVE,0,0.0,-29.88773113547574,-58.451598983371966,False
nar_low,NaR,low,3.0,30.0,1,EPSP_PASSIVE,0,0.0,-29.36230618659778,-46.60257508738672,False
nar_low,NaR,low,3.0,60.0,1,EPSP_PASSIVE,0,0.0,-29.23178800131814,-40.44892475501293,False
nar_low,NaR,low,3.0,90.0,1,EPSP_PASSIVE,0,0.0,-29.646204870219616,-40.0871077542862,False
nar_low,NaR,low,3.0,120.0,1,EPSP_PASSIVE,0,0.0,-29.646204870219616,-40.0871077542862,False
nar_low,NaR,low,3.0,150.0,1,EPSP_PASSIVE,0,0.0,-29.646204870219616,-40.0871077542862,False
nar_low,NaR,low,3.0,180.0,1,EPSP_PASSIVE,0,0.0,-29.646204870219616,-40.0871077542862,False
nar_low,NaR,low,3.0,210.0,1,EPSP_PASSIVE,0,0.0,-29.06760789715383,-41.78632421356737,False
nar_low,NaR,low,3.0,240.0,1,EPSP_PASSIVE,0,0.0,-29.797079819076274,-54.17925347603345,False
nar_low,NaR,low,3.0,270.0,1,EPSP_PASSIVE,0,0.0,-29.6589627140326,-59.4032406480939,False
nar_low,NaR,low,3.0,300.0,1,EPSP_PASSIVE,0,0.0,-29.639236037747455,-59.68381307445359,False
nar_low,NaR,low,3.0,330.0,1,EPSP_PASSIVE,0,0.0,-29.935203634565465,-59.67185730890208,False
nar_low,NaR,low,3.0,0.0,1,IPSP_PASSIVE,0,0.0,-60.01328007879925,-60.114378612728224,False
nar_low,NaR,low,3.0,30.0,1,IPSP_PASSIVE,0,0.0,-60.0133391299959,-60.11440314895904,False
nar_low,NaR,low,3.0,60.0,1,IPSP_PASSIVE,0,0.0,-60.01320361748165,-60.114379405117376,False
nar_low,NaR,low,3.0,90.0,1,IPSP_PASSIVE,0,0.0,-60.01325802022355,-60.11440070933651,False
nar_low,NaR,low,3.0,120.0,1,IPSP_PASSIVE,0,0.0,-60.01325802022355,-60.11440070933651,False
nar_low,NaR,low,3.0,150.0,1,IPSP_PASSIVE,0,0.0,-60.01325802022355,-60.11440070933651,False
nar_low,NaR,low,3.0,180.0,1,IPSP_PASSIVE,0,0.0,-60.01325802022355,-60.11440070933651,False
nar_low,NaR,low,3.0,210.0,1,IPSP_PASSIVE,0,0.0,-60.01309780992873,-60.114413650031366,False
nar_low,NaR,low,3.0,240.0,1,IPSP_PASSIVE,0,0.0,-60.013083211826356,-60.114418525850944,False
nar_low,NaR,low,3.0,270.0,1,IPSP_PASSIVE,0,0.0,-60.013300730804865,-60.11439752167892,False
nar_low,NaR,low,3.0,300.0,1,IPSP_PASSIVE,0,0.0,-60.01363030907426,-60.11437619819005,False
nar_low,NaR,low,3.0,330.0,1,IPSP_PASSIVE,0,0.0,-60.013428323272585,-60.11437328092994,False
nar_med,NaR,med,8.0,0.0,1,EPSP_PASSIVE,0,0.0,-29.88757370204829,-58.42513093999414,False
nar_med,NaR,med,8.0,30.0,1,EPSP_PASSIVE,0,0.0,-29.362204243892812,-46.55295627930275,False
nar_med,NaR,med,8.0,60.0,1,EPSP_PASSIVE,0,0.0,-29.231734669223943,-40.40324224732572,False
nar_med,NaR,med,8.0,90.0,1,EPSP_PASSIVE,0,0.0,-29.646095033621116,-40.04198542596537,False
nar_med,NaR,med,8.0,120.0,1,EPSP_PASSIVE,0,0.0,-29.646095033621116,-40.04198542596537,False
nar_med,NaR,med,8.0,150.0,1,EPSP_PASSIVE,0,0.0,-29.646095033621116,-40.04198542596537,False
nar_med,NaR,med,8.0,180.0,1,EPSP_PASSIVE,0,0.0,-29.646095033621116,-40.04198542596537,False
nar_med,NaR,med,8.0,210.0,1,EPSP_PASSIVE,0,0.0,-29.067542217319676,-41.73830591155464,False
nar_med,NaR,med,8.0,240.0,1,EPSP_PASSIVE,0,0.0,-29.796952485396485,-54.12575621596028,False
nar_med,NaR,med,8.0,270.0,1,EPSP_PASSIVE,0,0.0,-29.65873006581266,-59.38333552051566,False
nar_med,NaR,med,8.0,300.0,1,EPSP_PASSIVE,0,0.0,-29.639097559496463,-59.66582137978713,False
nar_med,NaR,med,8.0,330.0,1,EPSP_PASSIVE,0,0.0,-29.935000895481277,-59.653789101342475,False
nar_med,NaR,med,8.0,0.0,1,IPSP_PASSIVE,0,0.0,-60.00252026743549,-60.0984539404276,False
nar_med,NaR,med,8.0,30.0,1,IPSP_PASSIVE,0,0.0,-60.002523914855125,-60.09845283175696,False
nar_med,NaR,med,8.0,60.0,1,IPSP_PASSIVE,0,0.0,-60.00252148950196,-60.09844778088798,False
nar_med,NaR,med,8.0,90.0,1,IPSP_PASSIVE,0,0.0,-60.00252167960103,-60.098453506121416,False
nar_med,NaR,med,8.0,120.0,1,IPSP_PASSIVE,0,0.0,-60.00252167960103,-60.098453506121416,False
nar_med,NaR,med,8.0,150.0,1,IPSP_PASSIVE,0,0.0,-60.00252167960103,-60.098453506121416,False
nar_med,NaR,med,8.0,180.0,1,IPSP_PASSIVE,0,0.0,-60.00252167960103,-60.098453506121416,False
nar_med,NaR,med,8.0,210.0,1,IPSP_PASSIVE,0,0.0,-60.002522438113836,-60.098456348734274,False
nar_med,NaR,med,8.0,240.0,1,IPSP_PASSIVE,0,0.0,-60.00252104683892,-60.098463570889116,False
nar_med,NaR,med,8.0,270.0,1,IPSP_PASSIVE,0,0.0,-60.00252026743549,-60.098457493904675,False
nar_med,NaR,med,8.0,300.0,1,IPSP_PASSIVE,0,0.0,-60.00252026743549,-60.09845345565348,False
nar_med,NaR,med,8.0,330.0,1,IPSP_PASSIVE,0,0.0,-60.00252026743549,-60.098452881388845,False
nar_high,NaR,high,24.0,0.0,1,EPSP_PASSIVE,0,0.0,-29.887065656891615,-58.33791133196885,False
nar_high,NaR,high,24.0,30.0,1,EPSP_PASSIVE,0,0.0,-29.361873646071533,-46.39362107355085,False
nar_high,NaR,high,24.0,60.0,1,EPSP_PASSIVE,0,0.0,-29.231559250488324,-40.25592545861574,False
nar_high,NaR,high,24.0,90.0,1,EPSP_PASSIVE,0,0.0,-29.645739470252067,-39.89627405694972,False
nar_high,NaR,high,24.0,120.0,1,EPSP_PASSIVE,0,0.0,-29.645739470252067,-39.89627405694972,False
nar_high,NaR,high,24.0,150.0,1,EPSP_PASSIVE,0,0.0,-29.645739470252067,-39.89627405694972,False
nar_high,NaR,high,24.0,180.0,1,EPSP_PASSIVE,0,0.0,-29.645739470252067,-39.89627405694972,False
nar_high,NaR,high,24.0,210.0,1,EPSP_PASSIVE,0,0.0,-29.067326127757955,-41.58388521335108,False
nar_high,NaR,high,24.0,240.0,1,EPSP_PASSIVE,0,0.0,-29.796538011015713,-53.952882096011976,False
nar_high,NaR,high,24.0,270.0,1,EPSP_PASSIVE,0,0.0,-29.65798410433673,-59.318213325261304,False
nar_high,NaR,high,24.0,300.0,1,EPSP_PASSIVE,0,0.0,-29.638650624615117,-59.60713808728317,False
nar_high,NaR,high,24.0,330.0,1,EPSP_PASSIVE,0,0.0,-29.934350137049496,-59.594849153322365,False
nar_high,NaR,high,24.0,0.0,1,IPSP_PASSIVE,0,0.0,-59.94759625959418,-60.04661921760516,False
