gnmda_ns,angle_deg,synapse_index,onset_time_ms
0.000000,0,0,111.9950
0.000000,0,1,102.6800
0.000000,0,2,100.0700
0.000000,0,3,100.0000
0.000000,0,4,103.0600
0.000000,0,5,100.0000
0.000000,0,6,111.7400
0.000000,0,7,112.1300
0.000000,0,8,113.2250
0.000000,0,9,100.0000
0.000000,0,10,103.7450
0.000000,0,11,100.0450
0.000000,0,12,100.0000
0.000000,0,13,100.0000
0.000000,0,14,112.2850
0.000000,0,15,100.0000
0.000000,0,16,100.5500
0.000000,0,17,116.0550
0.000000,0,18,108.2600
0.000000,0,19,121.8750
0.000000,0,20,100.0000
0.000000,0,21,101.0600
0.000000,0,22,118.8750
0.000000,0,23,113.3950
0.000000,0,24,116.2600
0.000000,0,25,111.5400
0.000000,0,26,100.0000
0.000000,0,27,100.0000
0.000000,0,28,110.1000
0.000000,0,29,109.6450
0.000000,0,30,107.9850
0.000000,0,31,106.5350
0.000000,0,32,100.0000
0.000000,0,33,107.4200
0.000000,0,34,109.3000
0.000000,0,35,110.9650
0.000000,0,36,122.1700
0.000000,0,37,100.0000
0.000000,0,38,100.0000
0.000000,0,39,113.2050
0.000000,0,40,100.0550
0.000000,0,41,109.2200
0.000000,0,42,105.0100
0.000000,0,43,108.6250
0.000000,0,44,104.0300
0.000000,0,45,100.0000
0.000000,0,46,100.0000
0.000000,0,47,113.6200
0.000000,0,48,100.0000
0.000000,0,49,102.7400
0.000000,0,50,116.2200
0.000000,0,51,100.0000
0.000000,0,52,100.0000
0.000000,0,53,111.3350
0.000000,0,54,108.3400
0.000000,0,55,100.0000
0.000000,0,56,130.8650
0.000000,0,57,100.9950
0.000000,0,58,100.0000
0.000000,0,59,106.2250
0.000000,0,60,112.2550
0.000000,0,61,102.9000
0.000000,0,62,100.0000
0.000000,0,63,100.3800
0.000000,0,64,108.3950
0.000000,0,65,119.3500
0.000000,0,66,100.0000
0.000000,0,67,100.0000
0.000000,0,68,117.6050
0.000000,0,69,100.3250
0.000000,0,70,113.7700
0.000000,0,71,100.0000
0.000000,0,72,133.7550
0.000000,0,73,100.0000
0.000000,0,74,107.4700
0.000000,0,75,124.1050
0.000000,0,76,112.5050
0.000000,0,77,100.0000
0.000000,0,78,100.0000
0.000000,0,79,119.4300
0.000000,0,80,104.7300
0.000000,0,81,109.3500
0.000000,0,82,111.2250
0.000000,0,83,115.6950
0.000000,0,84,120.8750
0.000000,0,85,117.7350
0.000000,0,86,104.8350
0.000000,0,87,100.0000
0.000000,0,88,100.0000
0.000000,0,89,111.6150
0.000000,0,90,100.0000
0.000000,0,91,100.0000
0.000000,0,92,100.0000
0.000000,0,93,100.4750
0.000000,0,94,100.0000
0.000000,0,95,100.0000
0.000000,0,96,100.0000
0.000000,0,97,100.0000
0.000000,0,98,100.0000
0.000000,0,99,102.6600
0.000000,30,0,110.6730
0.000000,30,1,101.8459
0.000000,30,2,113.8556
0.000000,30,3,100.3847
0.000000,30,4,100.0000
0.000000,30,5,100.0000
0.000000,30,6,110.4471
0.000000,30,7,108.0499
0.000000,30,8,104.9807
0.000000,30,9,100.0000
0.000000,30,10,100.0000
0.000000,30,11,100.1165
0.000000,30,12,100.0000
0.000000,30,13,110.7925
0.000000,30,14,108.2216
0.000000,30,15,103.2447
0.000000,30,16,100.0000
0.000000,30,17,107.6140
0.000000,30,18,117.5059
0.000000,30,19,123.2318
0.000000,30,20,108.4063
0.000000,30,21,107.1630
0.000000,30,22,122.9087
0.000000,30,23,108.7754
0.000000,30,24,112.3616
0.000000,30,25,118.0739
0.000000,30,26,100.0000
0.000000,30,27,100.0000
0.000000,30,28,110.8394
0.000000,30,29,108.5153
0.000000,30,30,109.1902
0.000000,30,31,108.3045
0.000000,30,32,100.1265
0.000000,30,33,103.5409
0.000000,30,34,102.9240
0.000000,30,35,121.5985
0.000000,30,36,119.2723
0.000000,30,37,100.0000
0.000000,30,38,100.0000
0.000000,30,39,119.2159
0.000000,30,40,100.0451
0.000000,30,41,115.8898
0.000000,30,42,103.8963
0.000000,30,43,111.1495
0.000000,30,44,103.7526
0.000000,30,45,100.0000
0.000000,30,46,100.0000
0.000000,30,47,114.1903
0.000000,30,48,107.9215
0.000000,30,49,100.0000
0.000000,30,50,101.5744
0.000000,30,51,100.0000
0.000000,30,52,100.0000
0.000000,30,53,127.7864
0.000000,30,54,111.0477
0.000000,30,55,104.1544
0.000000,30,56,126.8774
0.000000,30,57,100.0000
0.000000,30,58,100.0000
0.000000,30,59,122.0985
0.000000,30,60,112.9056
0.000000,30,61,117.9040
0.000000,30,62,108.2413
0.000000,30,63,100.0000
0.000000,30,64,117.2578
0.000000,30,65,123.1276
0.000000,30,66,108.2918
0.000000,30,67,100.0000
0.000000,30,68,123.0014
0.000000,30,69,105.9190
0.000000,30,70,116.6427
0.000000,30,71,100.0000
0.000000,30,72,132.5202
0.000000,30,73,100.0000
0.000000,30,74,104.6317
0.000000,30,75,124.5330
0.000000,30,76,112.0521
0.000000,30,77,100.0000
0.000000,30,78,100.0000
0.000000,30,79,116.4794
0.000000,30,80,100.0000
0.000000,30,81,107.2673
0.000000,30,82,105.7486
0.000000,30,83,101.9823
0.000000,30,84,122.4733
0.000000,30,85,111.4265
0.000000,30,86,101.9147
0.000000,30,87,100.0000
0.000000,30,88,104.9295
0.000000,30,89,107.5964
0.000000,30,90,100.0000
0.000000,30,91,100.0000
0.000000,30,92,100.0000
0.000000,30,93,100.0000
0.000000,30,94,100.0000
0.000000,30,95,100.0000
0.000000,30,96,102.5605
0.000000,30,97,100.0000
0.000000,30,98,100.0000
0.000000,30,99,100.0000
0.000000,60,0,106.4911
0.000000,60,1,100.5173
0.000000,60,2,123.9286
0.000000,60,3,106.2064
0.000000,60,4,100.0000
0.000000,60,5,100.0000
0.000000,60,6,106.3550
0.000000,60,7,101.8128
0.000000,60,8,100.0000
0.000000,60,9,100.0000
0.000000,60,10,100.0000
0.000000,60,11,100.1567
0.000000,60,12,100.0000
0.000000,60,13,120.5031
0.000000,60,14,101.9553
0.000000,60,15,114.9849
0.000000,60,16,100.0000
0.000000,60,17,100.0000
0.000000,60,18,122.0611
0.000000,60,19,118.3637
0.000000,60,20,117.1452
0.000000,60,21,111.3467
0.000000,60,22,120.8041
0.000000,60,23,101.8045
0.000000,60,24,105.1509
0.000000,60,25,119.7650
0.000000,60,26,100.0000
0.000000,60,27,100.0000
0.000000,60,28,108.6743
0.000000,60,29,105.1040
0.000000,60,30,107.9329
0.000000,60,31,107.8488
0.000000,60,32,105.8840
0.000000,60,33,100.0000
0.000000,60,34,100.0000
0.000000,60,35,126.4446
0.000000,60,36,111.2106
0.000000,60,37,100.0000
0.000000,60,38,100.0000
0.000000,60,39,120.0779
0.000000,60,40,100.0232
0.000000,60,41,118.3019
0.000000,60,42,101.7386
0.000000,60,43,110.6864
0.000000,60,44,102.4697
0.000000,60,45,100.0000
0.000000,60,46,104.0718
0.000000,60,47,110.9583
0.000000,60,48,115.2804
0.000000,60,49,100.0000
0.000000,60,50,100.0000
0.000000,60,51,100.1910
0.000000,60,52,100.0000
0.000000,60,53,136.7925
0.000000,60,54,110.7951
0.000000,60,55,114.3006
0.000000,60,56,115.6880
0.000000,60,57,100.0000
0.000000,60,58,102.7402
0.000000,60,59,132.0507
0.000000,60,60,110.0982
0.000000,60,61,128.1106
0.000000,60,62,114.4894
0.000000,60,63,100.0000
0.000000,60,64,121.4964
0.000000,60,65,120.7082
0.000000,60,66,120.7568
0.000000,60,67,100.0000
0.000000,60,68,122.2346
0.000000,60,69,109.9269
