gnmda_ns,angle_deg,trial_seed,firing_rate_hz
0.000000,0,1,0.666667
0.000000,0,2,0.666667
0.000000,0,3,0.666667
0.000000,0,4,0.666667
0.000000,0,5,0.666667
0.000000,0,6,0.666667
0.000000,0,7,0.666667
0.000000,0,8,0.666667
0.000000,0,9,0.666667
0.000000,0,10,0.666667
0.000000,30,1001,0.666667
0.000000,30,1002,0.666667
0.000000,30,1003,0.666667
0.000000,30,1004,0.666667
0.000000,30,1005,0.666667
0.000000,30,1006,0.666667
0.000000,30,1007,0.666667
0.000000,30,1008,0.666667
0.000000,30,1009,0.666667
0.000000,30,1010,0.666667
0.000000,60,2001,0.666667
0.000000,60,2002,0.666667
0.000000,60,2003,0.666667
0.000000,60,2004,0.666667
0.000000,60,2005,0.666667
0.000000,60,2006,0.666667
0.000000,60,2007,0.666667
0.000000,60,2008,0.666667
0.000000,60,2009,0.666667
0.000000,60,2010,0.666667
0.000000,90,3001,0.000000
0.000000,90,3002,0.000000
0.000000,90,3003,0.000000
0.000000,90,3004,0.000000
0.000000,90,3005,0.000000
0.000000,90,3006,0.000000
0.000000,90,3007,0.000000
0.000000,90,3008,0.000000
0.000000,90,3009,0.000000
0.000000,90,3010,0.000000
0.000000,120,4001,0.000000
0.000000,120,4002,0.000000
0.000000,120,4003,0.000000
0.000000,120,4004,0.000000
0.000000,120,4005,0.000000
0.000000,120,4006,0.000000
0.000000,120,4007,0.000000
0.000000,120,4008,0.000000
0.000000,120,4009,0.000000
0.000000,120,4010,0.000000
0.000000,150,5001,0.000000
0.000000,150,5002,0.000000
0.000000,150,5003,0.000000
0.000000,150,5004,0.000000
0.000000,150,5005,0.000000
0.000000,150,5006,0.000000
0.000000,150,5007,0.000000
0.000000,150,5008,0.000000
0.000000,150,5009,0.000000
0.000000,150,5010,0.000000
0.000000,180,6001,0.000000
0.000000,180,6002,0.000000
0.000000,180,6003,0.000000
0.000000,180,6004,0.000000
0.000000,180,6005,0.000000
0.000000,180,6006,0.000000
0.000000,180,6007,0.000000
0.000000,180,6008,0.000000
0.000000,180,6009,0.000000
0.000000,180,6010,0.000000
0.000000,210,7001,0.000000
0.000000,210,7002,0.000000
0.000000,210,7003,0.000000
0.000000,210,7004,0.000000
0.000000,210,7005,0.000000
0.000000,210,7006,0.000000
0.000000,210,7007,0.000000
0.000000,210,7008,0.000000
0.000000,210,7009,0.000000
0.000000,210,7010,0.000000
0.000000,240,8001,0.000000
0.000000,240,8002,0.000000
0.000000,240,8003,0.000000
0.000000,240,8004,0.000000
0.000000,240,8005,0.000000
0.000000,240,8006,0.000000
0.000000,240,8007,0.000000
0.000000,240,8008,0.000000
0.000000,240,8009,0.000000
0.000000,240,8010,0.000000
0.000000,270,9001,0.000000
0.000000,270,9002,0.000000
0.000000,270,9003,0.000000
0.000000,270,9004,0.000000
0.000000,270,9005,0.000000
0.000000,270,9006,0.000000
0.000000,270,9007,0.000000
0.000000,270,9008,0.000000
0.000000,270,9009,0.000000
0.000000,270,9010,0.000000
0.000000,300,10001,0.666667
0.000000,300,10002,0.666667
0.000000,300,10003,0.666667
0.000000,300,10004,0.666667
0.000000,300,10005,0.666667
0.000000,300,10006,0.666667
0.000000,300,10007,0.666667
0.000000,300,10008,0.666667
0.000000,300,10009,0.666667
0.000000,300,10010,0.666667
0.000000,330,11001,0.666667
0.000000,330,11002,0.666667
0.000000,330,11003,0.666667
0.000000,330,11004,0.666667
0.000000,330,11005,0.666667
0.000000,330,11006,0.666667
0.000000,330,11007,0.666667
0.000000,330,11008,0.666667
0.000000,330,11009,0.666667
0.000000,330,11010,0.666667
0.250000,0,1,8.000000
0.250000,0,2,8.000000
0.250000,0,3,8.000000
0.250000,0,4,8.000000
0.250000,0,5,8.000000
0.250000,0,6,8.000000
0.250000,0,7,8.000000
0.250000,0,8,8.000000
0.250000,0,9,8.000000
0.250000,0,10,8.000000
0.250000,30,1001,8.000000
0.250000,30,1002,8.000000
0.250000,30,1003,8.000000
0.250000,30,1004,8.000000
0.250000,30,1005,8.000000
0.250000,30,1006,8.000000
0.250000,30,1007,8.000000
0.250000,30,1008,8.000000
0.250000,30,1009,8.000000
0.250000,30,1010,8.000000
0.250000,60,2001,7.333333
0.250000,60,2002,7.333333
0.250000,60,2003,7.333333
0.250000,60,2004,7.333333
0.250000,60,2005,7.333333
0.250000,60,2006,7.333333
0.250000,60,2007,7.333333
0.250000,60,2008,7.333333
0.250000,60,2009,7.333333
0.250000,60,2010,7.333333
0.250000,90,3001,7.333333
0.250000,90,3002,7.333333
0.250000,90,3003,7.333333
0.250000,90,3004,7.333333
0.250000,90,3005,7.333333
0.250000,90,3006,7.333333
0.250000,90,3007,7.333333
0.250000,90,3008,7.333333
0.250000,90,3009,7.333333
0.250000,90,3010,7.333333
0.250000,120,4001,6.000000
0.250000,120,4002,6.000000
0.250000,120,4003,6.000000
0.250000,120,4004,6.000000
0.250000,120,4005,6.000000
0.250000,120,4006,6.000000
0.250000,120,4007,6.000000
0.250000,120,4008,6.000000
0.250000,120,4009,6.000000
0.250000,120,4010,6.000000
0.250000,150,5001,6.000000
0.250000,150,5002,6.000000
0.250000,150,5003,6.000000
0.250000,150,5004,6.000000
0.250000,150,5005,6.000000
0.250000,150,5006,6.000000
0.250000,150,5007,6.000000
0.250000,150,5008,6.000000
0.250000,150,5009,6.000000
0.250000,150,5010,6.000000
0.250000,180,6001,6.000000
0.250000,180,6002,6.000000
0.250000,180,6003,6.000000
0.250000,180,6004,6.000000
0.250000,180,6005,6.000000
0.250000,180,6006,6.000000
0.250000,180,6007,6.000000
