diameter_multiplier,peak_hz,null_hz,dsi_peak_null,dsi_vector_sum,hwhm_deg,reliability,preferred_dir_deg,mean_peak_mv
0.50,15.0000,0.0000,1.000000,0.635401,84.2308,1.000000,46.36,-4.811
0.75,15.0000,0.0000,1.000000,0.653027,116.2500,0.999871,49.15,-4.881
1.00,15.0000,0.0000,1.000000,0.655528,116.2500,1.000000,49.28,-4.837
1.25,14.0000,0.0000,1.000000,0.664689,89.1667,1.000000,48.58,-4.959
1.50,14.0000,0.0000,1.000000,0.665205,89.1667,0.999965,47.89,-4.910
1.75,13.0000,0.0000,1.000000,0.657194,78.3333,1.000000,48.88,-5.205
2.00,13.0000,0.0000,1.000000,0.647826,81.5833,1.000000,48.38,-5.143
