diameter_multiplier,direction_selectivity_index,dsi_vector_sum,peak_hz,null_hz,hwhm_deg
0.50,1.000000,0.635401,15.0000,0.0000,84.2308
0.75,1.000000,0.653027,15.0000,0.0000,116.2500
1.00,1.000000,0.655528,15.0000,0.0000,116.2500
1.25,1.000000,0.664689,14.0000,0.0000,89.1667
1.50,1.000000,0.665205,14.0000,0.0000,89.1667
1.75,1.000000,0.657194,13.0000,0.0000,78.3333
2.00,1.000000,0.647826,13.0000,0.0000,81.5833
