angle_deg,synapse_index,onset_time_ms,is_fired
330,17,120.1940,0
330,18,100.0000,1
330,19,114.6568,0
330,20,100.0000,1
330,21,100.0000,1
330,22,109.7837,0
330,23,114.4254,0
330,24,115.8016,0
330,25,101.9139,0
330,26,100.0000,1
330,27,100.0000,1
330,28,106.6544,0
330,29,108.1903,0
330,30,104.6402,0
330,31,103.0145,0
330,32,100.0000,1
330,33,109.3109,0
330,34,113.1840,0
330,35,100.0000,1
330,36,119.1273,0
330,37,103.8355,0
330,38,100.0000,1
330,39,103.6559,0
330,40,100.0501,0
330,41,100.0798,0
330,42,104.7813,0
330,43,103.7895,0
330,44,103.2276,0
330,45,104.5334,0
330,46,100.0000,1
330,47,109.4003,0
330,48,100.0000,1
330,49,114.5629,0
330,50,126.5194,0
330,51,100.0000,1
330,52,101.6733,0
330,53,100.0000,1
330,54,103.3977,0
330,55,100.0000,1
330,56,126.5824,0
330,57,108.9842,0
330,58,100.0000,1
330,59,100.0000,1
330,60,108.3206,0
330,61,100.0000,1
330,62,100.0000,1
330,63,100.9941,0
330,64,100.0000,1
330,65,110.3876,0
330,66,100.0000,1
330,67,100.0000,1
330,68,107.4914,0
330,69,100.0000,1
330,70,107.2077,0
330,71,106.0301,0
330,72,125.9452,0
330,73,100.0000,1
330,74,108.3067,0
330,75,117.2180,0
330,76,109.6071,0
330,77,100.0000,1
330,78,100.0000,1
330,79,117.1744,0
330,80,111.0363,0
330,81,108.9273,0
330,82,113.6936,0
330,83,125.2023,0
330,84,113.6833,0
330,85,119.2915,0
330,86,106.4597,0
330,87,100.0000,1
330,88,100.0000,1
330,89,112.5214,0
330,90,105.8148,0
330,91,100.1108,0
330,92,100.0000,1
330,93,102.7489,0
330,94,100.0000,1
330,95,101.8678,0
330,96,100.0000,1
330,97,102.2512,0
330,98,103.9779,0
330,99,118.1211,0
